"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MS4A1",0,6.44190485892479,0.97,0.048,0
"CD79A",0,6.45317012616656,0.99,0.073,0
"BANK1",0,6.87587245039221,0.797,0.021,0
"LINC00926",0,6.84244821474541,0.772,0.018,0
"IGHM",6.32527158471379e-302,5.91931636436142,0.825,0.063,2.13123700775347e-297
"IGHD",8.48122536309418e-293,6.81817492110081,0.71,0.026,2.85766407384095e-288
"FAM129C",8.08621195551791e-292,6.79107993129942,0.66,0.013,2.7245682562922e-287
"CD22",8.88389415584526e-276,6.33947429718834,0.657,0.02,2.9933392968705e-271
"FCER2",1.81954405137814e-265,6.64030356045415,0.625,0.016,6.13077172671349e-261
"VPREB3",2.06858266619124e-265,7.83530694418013,0.588,0.007,6.96988243546476e-261
"CD79B",6.1156268631372e-265,4.25413520091218,0.978,0.23,2.06059931526545e-260
"RALGPS2",1.67910749469485e-254,5.34409083507957,0.685,0.04,5.65758479262484e-250
"CD19",1.37582214272232e-250,6.48140450049198,0.58,0.012,4.6356951276886e-246
"FCRLA",2.05716681875604e-238,6.83365379418376,0.545,0.009,6.9314178791166e-234
"FCRL1",7.91214790207914e-232,6.8075468197542,0.542,0.012,2.66591911412655e-227
"TNFRSF13C",8.24636655409129e-226,6.09671767132612,0.545,0.015,2.77853074673552e-221
"TCL1A",4.85124452727359e-222,6.43893663095062,0.608,0.036,1.63457833101956e-217
"SPIB",1.31624959154791e-214,6.90507469540763,0.51,0.012,4.43497137376153e-210
"BLK",6.36170531567514e-211,5.16224931872935,0.547,0.022,2.14351298906358e-206
"HLA-DOB",4.75030080420185e-207,5.96641798552283,0.512,0.016,1.60056635296777e-202
"ADAM28",3.33030353297174e-204,5.51603145179263,0.545,0.025,1.1221124723995e-199
"CD74",1.41754304714709e-192,2.55301823639865,1,0.909,4.7762695430574e-188
"HLA-DQA1",7.27515878314056e-184,2.56140547313937,0.968,0.317,2.45129200039138e-179
"CD37",9.39774012418821e-181,2.08237704616019,0.998,0.9,3.16647455744398e-176
"POU2AF1",1.10658419303988e-179,6.86499755322565,0.42,0.007,3.72852478002857e-175
"HLA-DQB1",1.16476021226023e-179,2.55455620863033,0.978,0.352,3.92454305918963e-175
"CD24",4.27566386312907e-176,6.75663866362718,0.418,0.008,1.44064218204271e-171
"BLNK",8.70927098531968e-168,6.56485578792575,0.408,0.01,2.93450176579361e-163
"GNG7",1.11975446999473e-164,5.10163051442992,0.45,0.02,3.77290071120024e-160
"ARHGAP24",1.54133410704892e-164,4.38038484429845,0.522,0.043,5.19337114029063e-160
"TSPAN13",1.81740022906817e-160,6.33868329550225,0.385,0.007,6.12354833182231e-156
"HLA-DRA",1.32274871238998e-156,2.01820483847462,0.995,0.575,4.4568695115268e-152
"S100A4",2.76756100714627e-151,-3.98768575369321,0.432,0.934,9.32502005747864e-147
"HLA-DPB1",3.00686244702036e-151,1.96711212933728,0.99,0.576,1.01313223289904e-146
"RP11-231C14.7",1.71226351575743e-150,5.43290988405028,0.428,0.023,5.76930068999307e-146
"AFF3",6.61132865701298e-149,5.00586405815681,0.472,0.038,2.22762107769395e-144
"PLPP5",8.72645524750403e-145,4.22722057730626,0.565,0.078,2.94029183109401e-140
"PDLIM1",5.73041297268114e-144,3.9565403454907,0.498,0.048,1.93080534701518e-139
"HCST",1.23259732471992e-139,-3.86043028214806,0.168,0.869,4.15311342591129e-135
"CD72",9.32224941706938e-139,5.1720589688123,0.41,0.024,3.14103871858736e-134
"RP11-693J15.5",6.03234563376945e-137,7.56327640378975,0.318,0.004,2.03253853784228e-132
"SWAP70",8.54635137945057e-137,3.55461064450531,0.613,0.113,2.87960763379208e-132
"SRGN",1.30222455204728e-136,-4.19099348445301,0.185,0.841,4.38771540566811e-132
"HLA-DPA1",9.25715138888449e-136,1.80168961022722,0.993,0.553,3.11910458897074e-131
"IGLC3",1.14820338813898e-135,6.96695445635846,0.4,0.024,3.86875649599548e-131
"MEF2C",1.44195733379649e-132,2.8020687073033,0.782,0.237,4.85853104049391e-128
"KIAA0226L",1.97993874949646e-129,4.9848680822049,0.378,0.021,6.67120562255339e-125
"CD40",4.68583106902288e-129,4.13669861531722,0.485,0.059,1.57884392039657e-124
"PAX5",2.97022755483152e-128,5.90002699884429,0.328,0.01,1.00078847232493e-123
"IGLC2",1.66624382256303e-127,7.28539130995396,0.382,0.024,5.61424193574387e-123
"PKIG",4.19627904392494e-127,5.08856629650461,0.358,0.017,1.41389426106007e-122
"HLA-DRB1",1.19038522213886e-124,1.57934452257942,0.998,0.541,4.01088396747469e-120
"IGKC",3.39185390365888e-123,5.96886105908103,0.645,0.172,1.14285125429882e-118
"KIAA0125",4.68586637579396e-123,5.83966216328515,0.315,0.009,1.57885581666002e-118
"HVCN1",7.5942211361063e-122,3.28336071319249,0.675,0.188,2.55879686959966e-117
"S100A6",2.29928350080586e-121,-3.19979031689074,0.58,0.94,7.74720582761528e-117
