"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD8B",2.52977300908151e-230,5.06009050331144,0.66,0.046,8.52381717679924e-226
"CD8A",9.02742486625838e-229,4.04002284342757,0.74,0.072,3.0417005344371e-224
"CD3D",1.7441870961006e-151,2.22580948692332,0.93,0.294,5.87686400160137e-147
"CD3E",1.78916730747994e-135,1.92494573230029,0.958,0.356,6.02842032582292e-131
"IL32",2.21767997785197e-135,1.94851343366611,0.973,0.39,7.47225091737442e-131
"RP11-291B21.2",9.21606675949473e-113,6.27020274220677,0.292,0.009,3.10526153394416e-108
"CD3G",6.86547477389645e-97,2.09112857979126,0.69,0.192,2.31325307031667e-92
"RPS3",6.30619347933816e-95,0.711926398119735,1,0.998,2.1248088309282e-90
"GZMK",3.82923773305443e-88,3.7005231559629,0.412,0.067,1.29022336177536e-83
"IL7R",4.21487070838521e-86,1.76543245395453,0.733,0.24,1.42015853648331e-81
"FCER1G",9.24996372429493e-81,-5.05492945650649,0.135,0.63,3.11668277726394e-76
"TYROBP",9.68407230567601e-81,-4.64528825872828,0.175,0.654,3.26295132267448e-76
"HLA-DRA",1.75903748797886e-79,-4.13515572866791,0.3,0.714,5.92690091199596e-75
"THEMIS",4.83553653015541e-76,3.14700848471527,0.355,0.054,1.62928567847056e-71
"CD74",5.03610315244031e-74,-2.95359251912248,0.848,0.94,1.69686459618324e-69
"CD27",1.35052326278416e-70,1.8307299835664,0.64,0.222,4.55045308162494e-66
"CTSW",1.39338429506941e-68,0.532755077485445,0.845,0.291,4.69486904380688e-64
"RPS12",2.56598483155933e-67,0.643403643820997,1,1,8.645829291456e-63
"HLA-DRB1",1.09326219902309e-66,-3.39050037339885,0.31,0.678,3.68363765338838e-62
"LCK",1.6259611852384e-64,1.29804696078411,0.815,0.382,5.47851361754228e-60
"TRAC",6.8123658834791e-62,1.78906921133423,0.672,0.285,2.29535856077945e-57
"LYN",1.10318635135925e-60,-4.28230592067436,0.045,0.503,3.71707609226984e-56
"H3F3A",2.31685290391864e-60,-1.04568196699311,0.94,0.97,7.80640417446348e-56
"FTH1",5.08566375475078e-60,-1.90357833209162,0.983,0.999,1.71356354552573e-55
"RPS14",9.75438354203469e-60,0.493230623311501,1,1,3.28664199065317e-55
"CTSS",6.76358742208036e-59,-3.4135240040375,0.348,0.688,2.27892314599576e-54
"RPS15A",6.81965442421577e-57,0.478249758258526,1,1,2.29781436169526e-52
"RPL14",1.76982375700027e-56,0.565435617591551,1,0.997,5.96324416683672e-52
"HLA-DPA1",3.30286176040508e-56,-2.99296906671433,0.362,0.679,1.11286624155089e-51
"PSAP",1.0493577605873e-55,-2.79822970099583,0.455,0.743,3.53570603852284e-51
"NELL2",1.40350105460614e-55,2.5758732438602,0.345,0.074,4.72895645338993e-51
"SPI1",1.1891788234742e-54,-5.3797132560536,0.028,0.448,4.00681912781397e-50
"CCL5",1.87135298247628e-53,2.04919286664355,0.59,0.258,6.30533673915557e-49
"RPL3",1.95406286753625e-52,0.609110864833108,1,0.996,6.58401942587664e-48
"TCF7",3.90509994759193e-52,1.49500525824835,0.605,0.238,1.31578437634163e-47
"RPS27A",5.33116514551987e-52,0.47092102422608,1,1,1.79628278413147e-47
"FGR",2.06470046553714e-51,-2.6640631495262,0.13,0.546,6.95680174858082e-47
"GZMM",4.80844197346895e-51,0.909140984467666,0.69,0.256,1.62015643854063e-46
"SPOCK2",6.04185487807305e-51,1.43822469077394,0.61,0.239,2.03574258261793e-46
"RPS4X",4.17750249374147e-50,0.498059145546291,1,1,1.40756769024125e-45
"CYBA",4.59266738449543e-50,-1.01979244950325,0.905,0.954,1.54745334853189e-45
"CYBB",1.14761332640181e-49,-6.93102782895519,0.005,0.396,3.86676834197826e-45
"CAMK4",1.28731132565457e-49,1.78294540055059,0.442,0.132,4.3374667806605e-45
"C1orf162",1.59246016080766e-49,-1.84630070172097,0.265,0.66,5.36563526582534e-45
"CST3",2.99696234664662e-49,-4.95021107362358,0.172,0.532,1.00979649307911e-44
"KLF4",5.45400474420858e-49,-4.71689437204695,0.04,0.432,1.83767235851364e-44
"MEF2C",8.01369698871057e-47,-5.49603113868544,0.013,0.391,2.70013506337614e-42
"LAT",1.29241838486982e-46,1.28646855033843,0.67,0.3,4.35467450598036e-42
"NPC2",3.31064485719057e-46,-2.51102558302051,0.265,0.597,1.11548867818179e-41
"HLA-DQA1",3.5859145266047e-46,-3.53573619959118,0.112,0.488,1.20823804059419e-41
"S100A11",5.50305706219477e-46,-2.6391122955992,0.35,0.647,1.85420004653591e-41
