"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VCAN",0,5.81316943685041,0.91,0.074,0
"S100A12",0,6.46277512279595,0.865,0.065,0
"CD14",4.63693152449895e-306,5.45715785596429,0.825,0.059,1.56236770786468e-301
"MS4A6A",2.2824262743896e-283,4.84777994367879,0.82,0.073,7.69040708892831e-279
"MNDA",7.12823839205621e-251,3.66690961927121,0.973,0.214,2.40178864381942e-246
"CSF3R",4.6195544823972e-247,4.65056797411011,0.765,0.076,1.55651268729891e-242
"LYZ",4.43237950187614e-241,4.66744141913724,1,0.437,1.49344594936215e-236
"S100A8",1.83811200636687e-232,5.81353959909904,0.99,0.384,6.19333459425253e-228
"S100A9",2.38135796575267e-225,5.19291889513316,0.995,0.445,8.02374752980706e-221
"CSTA",2.75642413512054e-225,3.49619923119416,0.912,0.184,9.28749548087515e-221
"CD36",6.72560132242684e-225,4.56735382019422,0.705,0.068,2.2661241095785e-220
"GPX1",1.72821048851169e-211,3.03171211624839,0.993,0.494,5.82303241999128e-207
"FCN1",4.99250651550406e-209,2.77344503538055,0.975,0.237,1.68217514533394e-204
"LGALS2",1.96981514650634e-195,4.519192403832,0.67,0.075,6.63709515463845e-191
"MGST1",1.28123162602405e-188,5.48385559716076,0.5,0.021,4.31698184072542e-184
"GRN",2.41890866490465e-174,2.83080193813057,0.892,0.289,8.15027085552971e-170
"S100A6",2.76749152718031e-164,2.04818201368819,1,0.856,9.32478595168132e-160
"TSPO",6.82030487474189e-161,2.15041824165067,0.988,0.58,2.29803352449553e-156
"PLBD1",2.35631505341359e-159,4.18727057582973,0.575,0.068,7.93936794097174e-155
"CST3",4.71066290548045e-157,2.1236760759382,1,0.366,1.58721075937258e-152
"RP11-1143G9.4",2.95465351328865e-156,5.41339273874872,0.575,0.074,9.95540954767479e-152
"TNFSF13B",3.39430391747996e-155,3.0102705960376,0.74,0.152,1.1436767619557e-150
"CD302",9.95971195229718e-154,3.05274268641482,0.715,0.138,3.35582534520701e-149
"CPVL",1.784251004453e-149,2.85333039355318,0.748,0.158,6.01185533440394e-145
"FGL2",1.28559762330473e-144,2.36620439207729,0.845,0.219,4.33169263196296e-140
"IL1B",1.45769203984031e-143,3.25649454641948,0.625,0.1,4.91154755903793e-139
"CTSS",1.79296495782607e-141,1.97401171601828,0.998,0.558,6.04121612889914e-137
"TYROBP",1.31808965837714e-140,1.77912147543097,1,0.489,4.44117129493593e-136
"LGALS1",5.39726180771455e-140,2.00266432186807,0.985,0.456,1.81855339349134e-135
"KCTD12",1.90139900111206e-139,3.7277751229843,0.565,0.082,6.40657379434696e-135
"BLVRB",1.42411679854509e-137,3.08016172169181,0.71,0.168,4.79841914101783e-133
"CLEC4E",3.61883302190294e-134,6.03619173239504,0.34,0.01,1.21932959839998e-129
"TYMP",2.16155822133222e-131,1.94336524265615,0.932,0.338,7.2831542709568e-127
"AP1S2",1.27500724136988e-129,2.42061463456174,0.877,0.366,4.29600939907168e-125
"GSTP1",1.89768858723468e-128,1.68082215457963,0.98,0.659,6.39407192582854e-124
"RBP7",2.821296294191e-128,3.80194223415139,0.535,0.078,9.50607573364715e-124
"ASGR1",1.23411127940203e-127,4.00174329588219,0.472,0.052,4.1582145448172e-123
"ALDH2",1.89180155684941e-126,3.72600314764835,0.512,0.072,6.37423616564839e-122
"CYBB",2.23946923227029e-125,2.36849715579191,0.805,0.236,7.5456676312115e-121
"NCF2",2.71638537700165e-124,2.50998110125101,0.728,0.174,9.15258888926937e-120
"EVL",4.42621588211648e-122,-3.00118612888426,0.255,0.851,1.49136917932033e-117
"CFP",1.81011593833913e-121,2.12114116502068,0.802,0.222,6.09900464263988e-117
"RNF130",3.11122330514918e-121,2.32087911203644,0.79,0.241,1.04829558043696e-116
"S100A4",9.4730959697758e-119,1.42279746540136,1,0.821,3.19186495605626e-114
"CFD",6.04821894102813e-118,1.78145837955707,0.85,0.23,2.03788688999002e-113
"FCGRT",7.23341474721576e-118,2.27706070995751,0.797,0.268,2.43722676492688e-113
"CXCL8",3.77845286714374e-117,3.38369154100556,0.578,0.108,1.27311190905541e-112
"NEAT1",3.49696103410439e-116,1.71132147227023,1,0.666,1.17826605083113e-111
"RGS2",2.90022393715114e-115,2.06492313415274,0.895,0.364,9.77201453383707e-111
"TNFAIP2",7.25754206954462e-115,2.78739906252949,0.588,0.112,2.44535622491237e-110
"JAML",9.38021510631067e-114,2.4559112564976,0.74,0.231,3.16056967792032e-109
"SERPINA1",2.19943572798003e-113,1.41868752005121,0.892,0.224,7.41077874185591e-109
"S100A11",1.21273741275938e-112,1.5518321594435,0.995,0.518,4.08619743855145e-108
"GAPDH",7.08352745180192e-112,1.29303247056256,0.995,0.916,2.38672373961014e-107
"LGALS3",3.70529290302461e-111,2.25438771314771,0.762,0.222,1.24846139074511e-106
"NAIP",2.64867925668628e-110,3.301852433705,0.498,0.078,8.92445988747876e-106
"AIF1",4.85895129311649e-109,1.23713190273332,0.993,0.328,1.63717504870267e-104
"FTH1",1.39364486169846e-108,1.28360168924508,1,0.995,4.6957469970068e-104
"TALDO1",2.09522343474673e-107,2.03914929585068,0.87,0.444,7.05964584103563e-103
"FTL",1.03094114530794e-106,1.41927386570892,1,0.994,3.47365309500058e-102
"CLEC4A",7.20777445611234e-106,2.91503725021539,0.56,0.116,2.42858752524249e-101
"KLF4",9.54658963564005e-106,1.7577107297982,0.838,0.273,3.21662791183256e-101
"CAPG",1.11660636225711e-105,2.50322615814659,0.672,0.189,3.76229347698911e-101
"TKT",2.61302557185323e-104,1.79632601173046,0.91,0.46,8.80432836180228e-100
"LST1",5.6372152543234e-103,0.874450790080969,0.993,0.326,1.89940330779173e-98
"S100A10",1.18231943963473e-102,1.80053203631836,0.963,0.717,3.98370711990527e-98
"IGSF6",1.90096007022452e-102,2.35796867100176,0.655,0.166,6.40509486061449e-98
"CEBPD",6.1448754946826e-101,2.40817970617031,0.738,0.25,2.07045434917836e-96
"MPEG1",3.66051571594129e-100,2.4996547612458,0.662,0.183,1.23337416532926e-95
"CES1",8.70280704226283e-100,4.5750239796059,0.315,0.021,2.93232380482004e-95
"RPS24",2.36814018898359e-96,0.619383593647976,1,1,7.9792115527613e-92
"H3F3A",4.85686308258328e-96,1.00440517930714,0.995,0.959,1.63647144704561e-91
"VIM",1.11220383670092e-95,1.51881914248494,0.993,0.816,3.74745960738007e-91
"NUP214",3.20889129543763e-95,2.42767473295294,0.652,0.192,1.08120383308476e-90
"CD163",4.51716914774543e-95,6.50058971299495,0.225,0.003,1.52201497264134e-90
"CLEC7A",6.67777101570913e-94,2.05372571398977,0.685,0.186,2.25000816603304e-89
"QPCT",1.38816990954049e-93,5.06120634885835,0.268,0.013,4.67729969320571e-89
"CLEC12A",2.74280734991175e-93,2.48358090017928,0.585,0.14,9.24161508479266e-89
"RAB32",4.06767892529681e-92,2.89210505552691,0.498,0.1,1.37056373708951e-87
"GCA",6.22216785911366e-92,2.5340626326087,0.632,0.183,2.09649723844976e-87
"SPI1",8.02268892141935e-92,1.4134813111795,0.86,0.282,2.70316480518303e-87
"RNASE6",1.84777703099281e-91,2.8314092629402,0.478,0.084,6.22589992822718e-87
