"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC01272",0,4.41686418952025,0.97,0.102,0
"CDKN1C",0,7.35244051642248,0.735,0.006,0
"HES4",0,6.31788426313151,0.703,0.015,0
"MS4A7",3.1151788567109e-307,4.34084013642964,0.968,0.128,1.04962836398017e-302
"TCF7L2",3.10959135252187e-278,4.70960681445269,0.74,0.036,1.04774571031872e-273
"CSF1R",8.71521834881849e-267,4.07368636755721,0.838,0.082,2.9365056704509e-262
"LRRC25",1.08211334692695e-262,3.669505217162,0.88,0.098,3.64607271113565e-258
"SIGLEC10",5.410398889103e-259,4.32437456094494,0.745,0.048,1.82297980169437e-254
"CD68",4.14465192463758e-256,3.24369418575758,0.978,0.182,1.39649901948738e-251
"PILRA",9.00403299487337e-251,3.46829258105716,0.892,0.117,3.03381887729263e-246
"SERPINA1",1.69884253144947e-249,3.12746844104313,0.993,0.204,5.72408002546583e-245
"LST1",4.97538288787948e-249,3.52375675483448,1,0.325,1.67640551024211e-244
"HCK",1.9575988057629e-244,3.17566394396423,0.945,0.162,6.59593341613751e-240
"LILRB2",4.38018601415757e-244,3.6186661500886,0.845,0.099,1.47585987561025e-239
"AIF1",7.38405091672324e-241,3.17312458906961,1,0.326,2.48798211588073e-236
"MAFB",1.31456414104318e-240,3.59134884337314,0.815,0.086,4.42929241683088e-236
"FCGR3A",3.23686475142519e-232,3.14684590444972,0.973,0.2,1.0906292093452e-227
"HMOX1",2.67284162325643e-227,4.10283734351227,0.718,0.06,9.00587256540022e-223
"IFI30",7.91968007585073e-226,2.97550715668031,0.943,0.174,2.66845700475714e-221
"GPBAR1",9.88400195581291e-225,3.52773150854356,0.74,0.066,3.3303156189916e-220
"SPI1",3.34224047678098e-217,2.76157341195777,0.985,0.257,1.12613450624658e-212
"COTL1",6.53132508459891e-209,2.74015839543862,1,0.643,2.20066467400476e-204
"CFD",2.43560889266546e-205,2.66371918222566,0.96,0.208,8.206540602947e-201
"LILRA2",2.88974017316313e-205,3.17989448224113,0.78,0.096,9.73669053945584e-201
"C5AR1",2.60507533390844e-203,3.0283881298819,0.748,0.079,8.7775408300711e-199
"IFITM3",1.74651646098182e-195,3.50774939126606,0.855,0.169,5.88471256363216e-191
"FAM26F",2.1890545854247e-195,2.86674152355592,0.897,0.188,7.37580052012997e-191
"LILRA1",2.51830410123293e-194,3.49337945866641,0.675,0.065,8.48517383869425e-190
"PSAP",1.53082503641134e-192,2.51229738920634,1,0.633,5.15796187768437e-188
