"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KLRF1",0,6.48085658973262,0.945,0.028,0
"KLRD1",0,4.87452344334916,0.973,0.07,0
"GNLY",0,6.03455718363734,0.983,0.124,0
"PRF1",0,5.32863686459379,0.958,0.11,0
"HOPX",0,4.47791272616019,0.955,0.109,0
"GZMB",0,6.071885311667,0.858,0.038,0
"FGFBP2",0,5.63295128002778,0.797,0.043,0
"CLIC3",0,6.392968919495,0.787,0.034,0
"IL2RB",1.18634069899866e-307,5.19113420245706,0.868,0.08,3.99725635120608e-303
"SPON2",2.91950547015042e-303,6.04416175300113,0.81,0.056,9.83698173112483e-299
"TRDC",6.15457469942229e-298,3.85336586855262,0.802,0.042,2.07372239922335e-293
"CST7",2.98386711984202e-296,3.99299815081717,0.973,0.138,1.00538418735957e-291
"GZMA",7.62428530108919e-285,3.8458730830278,0.97,0.15,2.56892668934899e-280
"NKG7",3.66164928120406e-274,4.44719644551157,1,0.261,1.2337561088089e-269
"XCL2",8.99295730071923e-269,5.56247869840745,0.685,0.029,3.03008703290434e-264
"CTSW",2.54325867335359e-253,3.79507890956913,0.988,0.262,8.56925577399758e-249
"ADGRG1",9.70784676653668e-248,5.56700014287595,0.62,0.022,3.27096188951687e-243
"MATK",2.83768491022711e-246,3.92166952726163,0.83,0.106,9.56129553651923e-242
"KLRB1",5.19677553586232e-234,2.92751279440228,0.943,0.157,1.75100154905345e-229
"S1PR5",8.47554992224701e-226,4.9716323868432,0.605,0.029,2.85575179080191e-221
"CD7",2.18306564017606e-221,3.29558101534793,0.98,0.355,7.3556213680092e-217
"TBX21",3.83132971917282e-220,4.56716053772524,0.672,0.056,1.29092823557809e-215
"TTC38",8.09548004087586e-219,5.10948532960209,0.61,0.037,2.72769104497271e-214
"PTGDR",2.41120050279742e-205,4.77168887408516,0.575,0.032,8.12429897412562e-201
"CD247",5.95324865062841e-199,3.33966607164179,0.915,0.277,2.00588760034274e-194
"CD160",1.78023870085117e-192,4.79115242473968,0.552,0.033,5.99833627864795e-188
"GZMH",8.96227838031987e-192,3.62615061901431,0.6,0.044,3.01975007746498e-187
"AKR1C3",1.78769278715062e-181,6.04967259526481,0.455,0.014,6.02345207702529e-177
"SH2D1B",2.11112950106547e-180,5.02435414806938,0.55,0.044,7.11323974089001e-176
"XCL1",7.38322076342478e-180,5.75038686642624,0.455,0.014,2.48770240402835e-175
"APMAP",1.57491188145501e-179,3.38697591094382,0.787,0.171,5.30650809337452e-175
"GZMM",1.32730570306178e-175,3.02728529038959,0.85,0.224,4.47222383589636e-171
"CCL4",8.22685223496781e-175,3.53799680050274,0.74,0.122,2.77195559205005e-170
"PRSS23",3.26633207175079e-171,5.84241569665666,0.428,0.012,1.10055792825571e-166
"IGFBP7",3.84415318255797e-170,4.43908360162936,0.595,0.069,1.29524897333108e-165
"NCR1",7.73997638278147e-165,7.23319284652842,0.375,0.004,2.60790764241439e-160
"SAMD3",1.79767496104084e-154,3.211833285863,0.665,0.109,6.057086013731e-150
"FCRL6",3.68356995427834e-153,4.39980347661801,0.455,0.027,1.24114206039455e-148
"RPL39",2.04484535124126e-138,-1.07373019562274,1,0.999,6.88990192647231e-134
"CHST12",7.30931367767005e-135,2.95107589833335,0.703,0.172,2.46280015055415e-130
"HLA-A",6.74513072679071e-133,1.13102982947585,1,0.989,2.27270434708486e-128
"C1orf21",1.93243472781056e-130,4.75502952942252,0.365,0.016,6.5111455718849e-126
"CMC1",1.04338335973874e-129,3.24868376599901,0.695,0.178,3.5155758923037e-125
"IL18RAP",3.65454223354091e-129,4.88507941324311,0.37,0.019,1.23136146016927e-124
"PLEKHF1",5.39881257837697e-129,4.03562724622618,0.46,0.047,1.81907591015834e-124
"RPL8",1.07731580770059e-127,-0.926883651881596,0.998,1,3.62990788246638e-123
