"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"MS4A1",2.76969401650643e-190,5.95069500270966,0.965,0.072,9.33220701921675e-186,6.33327743195191e-228,7.08152542104301,0.975,0.023,2.13393449792188e-223,2.76969401650643e-190,1.26665548639038e-227
"CD79A",2.57751635254571e-187,6.08433576074832,0.995,0.101,8.6846835982675e-183,1.69370400742475e-215,6.97772563543291,0.985,0.045,5.70676628261695e-211,2.57751635254571e-187,3.38740801484949e-215
"BANK1",1.77728868901469e-145,6.09826053554434,0.705,0.027,5.9883965087661e-141,1.1276859854915e-209,7.59623437362958,0.89,0.016,3.79962515951506e-205,1.77728868901469e-145,2.25537197098299e-209
"LINC00926",3.16176292097631e-140,6.18820984427395,0.68,0.025,1.06532439859376e-135,2.81746915473936e-205,7.33304014575798,0.865,0.012,9.49318056997879e-201,3.16176292097631e-140,5.63493830947879e-205
"FAM129C",6.57869848412107e-102,5.69303802265404,0.505,0.016,2.21662666723975e-97,2.36299775074378e-194,7.64639045075628,0.815,0.009,7.96188462135609e-190,6.57869848412107e-102,4.72599550148763e-194
"IGHD",2.55867307401446e-179,6.70587089883969,0.87,0.044,8.62119305558431e-175,5.5278092763926e-123,7.36093223323548,0.55,0.008,1.86254005758772e-118,5.5278092763926e-123,5.117346148029e-179
"IGHM",1.21824547766879e-147,5.75044514274101,0.885,0.11,4.10475631245723e-143,2.1537253031078e-171,6.50764267314005,0.765,0.016,7.25676203629143e-167,1.21824547766879e-147,4.30745060621569e-171
"CD19",4.92975231727171e-92,5.62655199676074,0.47,0.017,1.66103074578153e-87,7.06705061298563e-163,7.67589571808757,0.69,0.006,2.38117203353938e-158,4.92975231727171e-92,1.41341012259712e-162
"FCRL1",1.71410912734703e-80,5.89053357484616,0.41,0.014,5.77551929368308e-76,5.71721946548381e-155,7.49484195058649,0.675,0.009,1.92635992670012e-150,1.71410912734703e-80,1.14344389309675e-154
"RALGPS2",1.45119636503947e-104,5.01330612978421,0.575,0.032,4.889661032364e-100,1.29557252770405e-153,5.56723418806818,0.795,0.047,4.36530207484602e-149,1.45119636503947e-104,2.59114505540806e-153
"FCRLA",3.12387484010915e-91,5.77664309892834,0.455,0.014,1.05255838862638e-86,1.02480065272798e-150,8.774811426864,0.635,0.004,3.45296331930166e-146,3.12387484010915e-91,2.04960130545592e-150
"CD22",1.53512305112934e-132,5.91249277284011,0.675,0.032,5.17244360847519e-128,1.31868564910548e-147,7.31068842808283,0.64,0.007,4.443179426096e-143,1.53512305112934e-132,2.63737129821095e-147
"AFF3",3.29617164642958e-22,3.46209483054931,0.23,0.041,1.11061207454798e-17,3.98679019941189e-141,5.9483364382099,0.715,0.036,1.34330908978984e-136,3.29617164642958e-22,7.97358039882375e-141
"TCL1A",1.3674507549729e-92,5.95877969852138,0.605,0.066,4.6074885738057e-88,5.01243380687316e-140,7.66000770883096,0.61,0.007,1.68888944688784e-135,1.3674507549729e-92,1.00248676137461e-139
