"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"MS4A1",0.000412615513317564,1.71796458879939,0.969,0.875,1,6.65972715097856e-227,7.0237483239838,0.975,0.024,2.24392846625072e-222,0.000412615513317564,1.33194543019565e-226
"CD79A",0.0275332757461208,0.805889855741901,1,0.875,1,1.79049335547269e-214,6.89632773454938,0.985,0.046,6.03288831192967e-210,0.0275332757461208,3.58098671094543e-214
"BANK1",0.228898790786524,0.687336182982293,0.698,0.875,1,1.40802271610331e-208,7.55393718204072,0.889,0.017,4.74419173963848e-204,0.228898790786524,2.81604543220654e-208
"LINC00926",0.909154930932893,0.374794354912732,0.672,0.875,1,5.95861304476282e-204,7.23106959130909,0.864,0.013,2.00769507930238e-199,0.909154930932893,1.19172260895255e-203
"FAM129C",0.981428777125688,0.159566120691011,0.5,0.625,1,7.95444207398444e-193,7.45961556995331,0.814,0.01,2.68016971240832e-188,0.981428777125688,1.59088841479691e-192
"IGHM",0.176765763482133,0.792007241710372,0.88,1,1,1.02404775654158e-169,6.35672482458371,0.764,0.017,3.4504265108912e-165,0.176765763482133,2.04809551308321e-169
"CD19",0.534134112711075,0.983206555290253,0.464,0.625,1,3.4545025652685e-161,7.44931534871911,0.688,0.007,1.16396009434157e-156,0.534134112711075,6.90900513053696e-161
"RALGPS2",0.79772475718516,0.301433355036325,0.568,0.75,1,1.25511221852232e-154,5.57590773147316,0.799,0.047,4.22897510908909e-150,0.79772475718516,2.51022443704459e-154
"FCRL1",0.922000979117917,0.73404445113214,0.401,0.625,1,2.44354987475157e-153,7.34118877527523,0.673,0.01,8.23329694798795e-149,0.922000979117917,4.88709974950306e-153
"FCRLA",0.964693647259322,0.320199423615779,0.448,0.625,1,4.42702203015243e-149,8.51742153726632,0.633,0.005,1.49164080283956e-144,0.964693647259322,8.85404406030472e-149
"CD22",0.0983963810749457,1.40969524390946,0.672,0.75,1,1.02879629839715e-145,7.04605719173997,0.638,0.008,3.46642624781934e-141,0.0983963810749457,2.0575925967943e-145
"AFF3",0.829261358665915,0.940639471471244,0.229,0.25,1,4.83589585836386e-142,5.95700998161488,0.719,0.036,1.62940675051712e-137,0.829261358665915,9.67179171672801e-142
"TCL1A",0.560265506619217,0.882128999349324,0.599,0.75,1,2.34570521195247e-138,7.49270643285395,0.608,0.008,7.90361914115267e-134,0.560265506619217,4.69141042390498e-138
"CD79B",0.00342172131260988,0.919893676040525,0.995,1,1,3.93555972492048e-137,4.29392862362992,0.96,0.19,1.32604749371471e-132,0.00342172131260988,7.8711194498408e-137
"FCER2",0.273092335243264,1.16841050710862,0.604,0.75,1,8.93717968937647e-136,6.4359469118966,0.638,0.017,3.01129332453851e-131,0.273092335243264,1.78743593787533e-135
"BLK",0.0877018292052771,1.72745787736414,0.438,0.125,1,1.3894644178583e-133,4.97884558359811,0.668,0.026,4.68166140953175e-129,0.0877018292052771,2.77892883571667e-133
"HLA-DQA1",0.0134276564672767,1.00904508862391,0.938,1,1,2.42933371284861e-132,3.65463019364765,0.995,0.24,8.18539701207211e-128,0.0134276564672767,4.85866742569723e-132
"VPREB3",0.407028202804138,0.872212606576312,0.589,0.75,1,2.30454613339366e-131,7.28054876685808,0.578,0.007,7.76493774185659e-127,0.407028202804138,4.60909226678741e-131
