"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS27",2.02227706181418e-129,1.36351269740315,1,0.999,6.81386033207671e-125
"RPL34",5.7321196988503e-128,1.07503836033614,1,0.999,1.93138041133062e-123
"TRAC",1.43938599919209e-125,4.24244804982542,0.727,0.123,4.84986718567784e-121
"RPS6",6.97403510830796e-124,1.2493939475416,1,0.996,2.34983138939328e-119
"RPS18",1.0757725884071e-123,1.20758107977593,1,0.992,3.62470815937888e-119
"CD3D",1.86023312163302e-122,2.26383745913679,0.904,0.218,6.26786948003029e-118
"RPS25",1.14170431995711e-121,1.06685751258417,1,0.993,3.8468585356635e-117
"RPL36",6.62581460477571e-121,1.00770429758767,0.998,0.995,2.23250197293313e-116
"RPL13",8.81072979012767e-120,0.944768105544974,1,1,2.96868729548562e-115
"RPLP2",5.7968423953103e-119,1.09458243762774,1,0.998,1.95318807667585e-114
"LDHB",6.00136235313758e-119,2.02505430274389,0.94,0.576,2.02209903126618e-114
"RPL3",1.65387792870168e-118,1.19977506504852,1,0.991,5.57257629296745e-114
"RPS4Y1",5.14504040481561e-117,9.42339567219002,0.47,0.001,1.73356991399857e-112
"RPS29",1.67148491354814e-115,2.65092257346221,0.993,0.948,5.63190126770909e-111
"RPL21",1.91526797277989e-112,1.72650379735965,0.995,0.994,6.45330390748456e-108
"RPL32",8.27440346211976e-110,0.870538103548062,1,1,2.78797750252663e-105
"RPS3A",3.06895125573565e-109,0.969665097959292,0.995,0.999,1.03405243610757e-104
"RPS2",8.91340633855769e-108,0.96658149860646,1,0.999,3.00328313171363e-103
"RPS15A",1.87516011603808e-107,0.779603658684731,1,0.999,6.3181644949787e-103
"RPS14",2.04702862221773e-107,0.809715551071836,0.998,1,6.89725823970041e-103
"RPL23A",3.86569049135707e-107,1.19500344598785,1,0.993,1.30250575415785e-102
"RPS3",1.48993422315358e-103,0.86676284891553,1,0.996,5.02018437149368e-99
"RPL9",2.03414391219763e-102,1.06075543136649,0.993,0.987,6.85384449775868e-98
"RPL41",2.56180962261376e-102,1.08000737692917,1,1,8.63176134243481e-98
"LTB",3.04775026697426e-102,1.827431616576,0.971,0.567,1.02690897495431e-97
"RPL31",3.13086441842307e-102,2.07006967343745,0.99,0.946,1.05491345714347e-97
"RPL38",3.0963091442441e-101,1.54582966952507,0.981,0.938,1.04327040306161e-96
"RPL13A",1.51255993813791e-100,2.27969057779086,1,0.967,5.09641945556188e-96
"MT-CO1",1.94989542026676e-100,-0.874740613050888,1,0.999,6.56997762904682e-96
"RPS20",1.92508149743976e-99,2.50595720080626,0.964,0.793,6.48636959747354e-95
"RPS27A",1.12357864614094e-97,0.800909785274401,1,0.999,3.78578589030727e-93
"RPS16",2.6407815724567e-97,0.820338901479837,1,0.993,8.89784943023561e-93
"IL7R",9.49715286755039e-97,2.12092226871259,0.811,0.207,3.19997068719243e-92
"MT-CO2",1.43861473153577e-96,-0.894993466906266,1,0.999,4.84726847643662e-92
"RPL39",1.73159019956795e-92,0.7042942642808,1,0.998,5.83442001842424e-88
"RPL11",1.61480365186309e-88,0.670307496291188,1,1,5.44091942458748e-84
"RPL4",3.63652440787044e-88,0.978230609434561,0.995,0.959,1.22529053398787e-83
"RPS15",3.71989894925706e-88,0.625386785131788,1,1,1.25338275196267e-83
"RPL35A",5.8155967359751e-88,0.732583410854464,1,0.998,1.95950716421945e-83
"FGR",1.11767423312297e-87,-5.50201886937472,0.024,0.628,3.76589156108453e-83
"CD3G",1.17113381877323e-87,2.26640523268219,0.7,0.164,3.94601828897451e-83
"RPL37A",4.34110041010487e-87,0.933030973287624,1,0.987,1.46269037218073e-82
"CD74",1.64775945731423e-84,-3.89823872964357,0.808,0.94,5.55196071547457e-80
"CYBA",4.12847252067215e-84,-1.49033551555187,0.818,0.966,1.39104753111527e-79
"LEF1",1.10890179277009e-83,2.47043266100955,0.624,0.119,3.73633370055953e-79
"RPL35",3.99901907831963e-83,0.994358202852777,0.998,0.989,1.34742948824902e-78
"RPS28",4.85213498027259e-82,0.598948805013717,1,0.999,1.63487836025305e-77
