"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100A12",1.84697716483221e-211,5.79429357387068,0.927,0.082,6.22320485918566e-207
"VCAN",1.28966901165707e-202,4.61071594848601,0.967,0.127,4.34541076787735e-198
"S100A8",4.84090569912682e-187,5.21929288100926,0.993,0.245,1.63109476626379e-182
"S100A9",1.51734839919096e-175,4.60464806226304,0.997,0.273,5.11255369623403e-171
"CD14",3.45348353685535e-167,4.06031191339071,0.867,0.109,1.16361674290804e-162
"LYZ",1.22880805136244e-163,3.36249618784533,0.993,0.293,4.14034584826061e-159
"MNDA",1.71853318515661e-147,3.14156679702549,0.963,0.251,5.79042571406668e-143
"MS4A6A",9.51167194048743e-136,3.17158962278473,0.843,0.14,3.20486274362783e-131
"GPX1",3.03447977697934e-131,2.6148422110388,0.987,0.515,1.02243761605542e-126
"CSF3R",7.05635737717514e-126,3.69247205858128,0.767,0.135,2.37756905466539e-121
"CSTA",6.53063039657215e-123,2.92397217483956,0.9,0.233,2.20043060582102e-118
"S100A6",7.47032135972191e-118,1.97067899542251,1,0.857,2.5170500789447e-113
"FCN1",1.47412513518914e-115,2.26225530699894,0.97,0.27,4.96691723050627e-111
"TSPO",1.24741561388447e-112,2.09259347009449,0.987,0.62,4.20304216942234e-108
"CTSS",2.47392134659293e-110,2.15991357954256,0.99,0.526,8.33563058521021e-106
"CD36",2.06950724268871e-103,3.33186591314312,0.703,0.135,6.97299770351535e-99
"RBP7",6.45309888913771e-101,3.85001876678472,0.623,0.09,2.17430713970606e-96
"TYROBP",5.14336641453777e-94,1.64529280256315,1,0.478,1.73300587971436e-89
"MGST1",9.72669878510846e-92,4.10519755793558,0.517,0.054,3.27731388865444e-87
"GRN",3.35789324287441e-90,2.25481625152903,0.87,0.339,1.1314085492541e-85
"S100A4",7.59817919367299e-90,1.43351327378181,1,0.796,2.56013049751618e-85
"MT-ND4L",5.24944923726459e-89,-1.60268761218674,0.917,0.992,1.76874942600393e-84
"LGALS1",1.54743119734565e-88,1.83984740556662,0.983,0.48,5.21391467633643e-84
"TYMP",9.67180880378745e-88,2.02752842700104,0.917,0.358,3.25881925834814e-83
"NEAT1",2.3345583436937e-87,1.73267199276764,1,0.671,7.86606088324156e-83
"EVL",1.9470539343853e-85,-3.2058133558357,0.187,0.831,6.56040352651782e-81
"RGS2",3.70564557678432e-84,2.2853973247719,0.89,0.385,1.24858022064171e-79
"PTPRCAP",2.9005715807382e-82,-5.19663143563156,0.04,0.717,9.7731858841393e-78
"EEF1A1",1.14932151117023e-80,-1.04970600461745,1,1,3.87252389973699e-76
"PLBD1",6.53633834966474e-80,3.41569194856525,0.587,0.115,2.20235384353604e-75
"BLVRB",2.90375126870307e-78,2.66750136665868,0.71,0.214,9.78389952476813e-74
"CD302",3.56449442340766e-78,2.56664338425359,0.707,0.196,1.20102075102298e-73
"TKT",1.15702914935181e-77,1.82751170437403,0.917,0.508,3.898494015826e-73
"MT-ATP8",5.51202234578477e-77,-1.58043640148234,0.587,0.939,1.85722080918872e-72
"LGALS2",1.02337007857858e-76,2.49967719564151,0.583,0.095,3.44814314276267e-72
"CFD",1.76898672854142e-76,1.87896473833366,0.85,0.273,5.96042388314747e-72
"TALDO1",2.15246309961931e-76,1.97981595060516,0.88,0.519,7.25250916785729e-72
"IFITM1",4.51741750672601e-76,-4.59943824914484,0.093,0.728,1.52209865471626e-71
"S100A11",4.64860588070232e-76,1.52069128915177,0.993,0.554,1.56630126544384e-71
"RP11-1143G9.4",5.17983421157816e-75,3.93117250965085,0.51,0.077,1.74529333924915e-70
"CYBB",4.44823516513704e-72,2.0228595399913,0.82,0.306,1.49878835654128e-67
