"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MS4A7",3.88765668733738e-201,4.10090077013397,0.972,0.152,1.30990704423146e-196
"CDKN1C",2.34999642481531e-200,5.46206949223472,0.787,0.019,7.91807795377269e-196
"LINC01272",1.34116204952418e-194,3.71120685844356,0.974,0.149,4.51891140966679e-190
"LST1",9.52895425965743e-176,3.04847644747169,1,0.405,3.21068584824897e-171
"CD68",1.55385396115303e-174,3.1222332021127,0.983,0.209,5.23555553670902e-170
"HES4",4.68190105763539e-174,4.99150041762156,0.741,0.033,1.57751974235967e-169
"LRRC25",6.20746630679327e-170,3.53655507855929,0.889,0.114,2.09154369741092e-165
"SERPINA1",8.60858153203577e-169,2.99850191908306,0.991,0.251,2.90057546140413e-164
"HCK",3.15723800115019e-166,3.1404579227525,0.946,0.179,1.06379977210755e-161
"CSF1R",4.09145437415629e-163,3.81352070781582,0.835,0.099,1.37857463682822e-158
"AIF1",4.66590577975683e-162,2.73669134269665,1,0.396,1.57213029343127e-157
"FCGR3A",4.17684752958893e-160,2.93153123722872,0.986,0.24,1.4073470066197e-155
"PILRA",4.40073060490064e-160,3.26547360158085,0.903,0.143,1.48278217001522e-155
"COTL1",3.35461395131887e-158,2.59065031641721,1,0.655,1.13030362475738e-153
"SIGLEC10",9.71260352552802e-156,4.03816416255076,0.767,0.069,3.27256463189141e-151
"IFI30",6.97709552569028e-152,2.81006426184673,0.938,0.181,2.35086256642608e-147
"LILRB2",4.73869028299586e-151,3.42636118580745,0.832,0.109,1.59665430395263e-146
"TCF7L2",2.95198848135385e-150,3.77255787425288,0.756,0.066,9.94642998907367e-146
"SPI1",1.74052374667808e-149,2.59066305129501,0.983,0.275,5.86452071205712e-145
"PSAP",4.83195383865866e-145,2.31645226506116,1,0.625,1.62807852639765e-140
"MAFB",5.08128733338788e-142,3.40099651575614,0.807,0.104,1.71208895411171e-137
"LYN",1.38508143653646e-140,2.62028879333955,0.974,0.294,4.66689339226595e-136
"FTH1",3.93260457979423e-140,1.97274726736259,1,0.993,1.32505178711587e-135
"HMOX1",1.41896747523931e-139,3.96538155638156,0.719,0.069,4.78106901107133e-135
"WARS",3.19969010576986e-139,3.29603636239012,0.812,0.115,1.0781035842381e-134
"SAT1",7.82341915119384e-139,2.3816023964438,0.994,0.701,2.63602284880325e-134
"FCER1G",2.24573301929203e-135,2.05244572109475,0.997,0.526,7.56677283520256e-131
"CFD",6.25182750813841e-133,2.49632868818286,0.957,0.254,2.10649076059216e-128
"S100A11",2.19740666907704e-131,2.06484420962864,1,0.549,7.40394203078817e-127
"C5AR1",2.68625444260098e-131,3.20491000694481,0.759,0.09,9.05106571889975e-127
"PECAM1",1.22591734091957e-129,2.88498583610452,0.895,0.218,4.13060588849439e-125
"NFKBIZ",3.32076794161195e-129,2.79688286028862,0.935,0.26,1.11889955024673e-124
"TNFRSF1B",5.95677645193469e-128,2.50795931730681,0.929,0.273,2.00707625771488e-123
"FAM26F",1.46246069117183e-125,2.55585850747886,0.901,0.21,4.92761505283437e-121
"LILRA2",9.05730210649888e-125,3.06616355941393,0.77,0.113,3.05176737176373e-120
"FAM110A",2.59430723217997e-124,3.07477893421324,0.787,0.13,8.74125878810719e-120
"CUX1",1.02047419530768e-123,3.48315098695484,0.747,0.113,3.4383857536697e-119
"FTL",4.8153331465776e-121,1.9374947582457,0.997,0.995,1.62247835040786e-116
"STXBP2",2.11030667631185e-120,2.30274458929616,0.969,0.365,7.11046731516516e-116
"KLF4",1.44001508458171e-119,2.4473080817065,0.943,0.249,4.85198682598961e-115
"GPBAR1",7.65588959290497e-118,2.97231454144866,0.736,0.106,2.5795754394334e-113
"LILRB1",4.36604694994904e-117,3.42425379095834,0.733,0.115,1.47109585931583e-112
"CPPED1",1.00916266953529e-113,2.573472971398,0.804,0.151,3.40027269873221e-109
"C19orf38",2.50295568976698e-113,2.6674355530044,0.781,0.139,8.43345890110086e-109
"BCL2A1",2.16158584779715e-112,2.60893861559939,0.838,0.196,7.28324735556771e-108
"MTSS1",3.54044532443689e-111,2.59369218715785,0.767,0.127,1.19291764761577e-106
"IFITM3",1.58030118473072e-110,2.7003085894592,0.878,0.257,5.3246668118317e-106
"RNASET2",2.59081950785912e-110,1.85939920705204,0.969,0.497,8.72950724978052e-106
"MAPKAPK3",2.22139883707053e-109,2.55740116657253,0.81,0.177,7.48478124162544e-105
"OAZ1",2.02446695041771e-108,1.11779935319062,0.997,0.958,6.82123894273744e-104
"BID",7.18904454716488e-108,2.36301516585486,0.866,0.226,2.42227666972173e-103
"SLC7A7",8.51554232037338e-108,2.52010098956913,0.787,0.153,2.86922682942661e-103
"LILRA1",1.90029209897885e-106,3.14005832272621,0.659,0.089,6.40284419829935e-102
"CXCL16",1.13220155650354e-105,3.56727381179286,0.599,0.064,3.81483992448303e-101
"CST3",1.39392846405614e-105,1.91281226563483,1,0.51,4.69670256679075e-101
"CSTB",8.9018376197097e-105,1.9322194173569,0.963,0.51,2.99938516758499e-100
"LILRA5",9.05193224623872e-104,2.71052082864672,0.688,0.1,3.04995805104767e-99
"TESC",1.92434048669627e-103,3.12549929315096,0.665,0.097,6.4838728358744e-99
"CLEC7A",4.06356514362088e-103,2.03903422761415,0.866,0.201,1.36917763949162e-98
"NPC2",4.71188387420255e-103,1.727995486423,0.989,0.495,1.58762215257381e-98
"NAAA",3.25198571678987e-102,2.21290090796002,0.866,0.218,1.09572406741518e-97
"TBXAS1",4.95958476839159e-102,2.61018573705215,0.724,0.121,1.67108249186186e-97
"BRI3",6.10502554845425e-102,2.18497021260755,0.869,0.237,2.05702730829618e-97
"ACTB",2.41762091755316e-101,1.06326672411223,1,1,8.14593191960362e-97
"RPL13A",2.30431418810316e-100,-1.38258653105713,0.991,1,7.76415622539478e-96
"ADGRE2",2.3837464861852e-100,3.1634860182224,0.619,0.08,8.0317954105524e-96
"RPLP2",2.64531524448165e-100,-1.07942707594121,0.997,1,8.91312518475646e-96
"RPL3",1.14309570489991e-99,-1.28150547065697,0.994,1,3.85154666808974e-95
"CTSS",3.14717529482914e-99,1.71283734307675,0.994,0.656,1.06040924383973e-94
"ZNF703",3.6980259935235e-99,3.30333699622861,0.58,0.062,1.24601287825781e-94
"SLC2A6",4.55505411711903e-99,3.17250811869572,0.616,0.079,1.53477993422209e-94
"RHOB",5.51735621001571e-99,2.47122897092451,0.841,0.24,1.85901800140269e-94
"ANXA5",1.14088375275054e-97,1.83767153952934,0.952,0.336,3.84409371651765e-93
"ARPC1B",1.3572437697562e-97,1.2946469569236,0.989,0.79,4.57309715781655e-93
"CKB",3.03687777427116e-97,5.51944365387727,0.426,0.012,1.02324559726292e-92
"RPL13",6.74302737600873e-97,-0.996795836967472,1,1,2.27199564407238e-92
"NCF2",1.35012449615315e-96,2.15352918554093,0.801,0.172,4.54910947733843e-92
"CFP",1.64551852028955e-96,1.89275471272482,0.903,0.248,5.5444101022636e-92
"RP11-362F19.1",1.92070052691332e-96,3.88808587103144,0.491,0.033,6.47160835538173e-92
"FKBP1A",3.29391665210232e-96,1.50100305682099,0.974,0.597,1.10985227675936e-91
"CEBPB",4.53752085603932e-96,2.01611064355193,0.932,0.384,1.52887227723389e-91
"IFITM2",5.36723175099198e-96,1.7640912569086,0.991,0.71,1.80843506617924e-91
"LGALS3",7.14551010763004e-96,2.10699077551438,0.838,0.212,2.40760817566486e-91
"S100A4",2.48305529997429e-95,1.38948261582003,1,0.871,8.36640652773338e-91
"UNC119",3.87956182522131e-95,2.43147262343786,0.759,0.165,1.30717956139007e-90
"RPL31",9.06547944787984e-95,-1.41714806871261,0.969,0.998,3.05452264516863e-90
"ASAH1",2.28181396691432e-93,1.89766593338859,0.92,0.333,7.68834398012112e-89
"PYCARD",7.76923492347359e-93,1.70253538425879,0.966,0.425,2.61776601511519e-88
"PLAUR",1.31128238086412e-92,2.35627174292872,0.756,0.159,4.41823485408358e-88
"LGALS9",1.36841231396962e-92,2.08242121133781,0.852,0.24,4.61072845068923e-88
"IGSF6",1.08003383349521e-91,2.03497118529224,0.767,0.155,3.63906599857876e-87
"ARPC3",1.62020023077203e-91,1.13053976311766,0.994,0.875,5.45910265756327e-87
"TIMP1",2.13221351191689e-91,2.02241895479508,0.923,0.336,7.18428020705278e-87
"RPS27",5.45976031575776e-91,-1.27340786384738,1,1,1.83961164079142e-86
"MYL6",1.0302708736271e-90,1.01402579914389,1,0.939,3.47139468159916e-86
"RPL23A",1.08351158864851e-90,-1.22187863116097,0.997,0.999,3.6507839467923e-86
"RPS29",2.83343933105084e-90,-1.52440793863146,0.986,0.997,9.54699048204269e-86
"NR4A1",4.22415831528598e-90,2.74846362823009,0.685,0.13,1.42328790275246e-85
"LYST",7.47923687881824e-90,1.89003913777225,0.901,0.287,2.52005407394902e-85
"VASP",6.36623159829062e-89,1.74937948716297,0.938,0.44,2.14503807472804e-84
"RPS3",9.68340853911579e-89,-1.00880846546699,0.994,0.999,3.26272767316967e-84
"RPS27A",2.18825140736763e-88,-0.915240117923909,0.997,1,7.37309429198449e-84
