"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CST7",3.64680851307656e-240,5.85314725097573,0.947,0.074,1.22875566039602e-235
"GZMA",2.22585624898384e-238,5.60302247870556,0.957,0.097,7.49980004532614e-234
"NKG7",5.89701980529016e-227,5.83325582179048,0.992,0.273,1.98694185319447e-222
"PRF1",3.80491930568288e-221,6.31232649351603,0.898,0.075,1.28202951085679e-216
"CTSW",4.52437288048929e-221,4.66752689892995,0.976,0.214,1.52444219835206e-216
"KLRD1",2.26153227988316e-219,6.09547706679653,0.876,0.052,7.62000686383832e-215
"HOPX",7.31037260510037e-216,5.52056978892268,0.882,0.057,2.46315694556252e-211
"KLRF1",9.0089640225122e-200,6.83552521686661,0.793,0.023,3.03548033774526e-195
"GNLY",6.02745944104715e-183,6.13417863659641,0.874,0.184,2.03089218406643e-178
"MATK",7.17490071364788e-173,5.1970599827477,0.754,0.051,2.41751104645652e-168
"IL2RB",4.71646654486812e-172,5.44596456432765,0.756,0.056,1.58916623762786e-167
"GZMB",3.24320111608262e-168,6.25458007884943,0.728,0.044,1.09276418405288e-163
"KLRB1",1.38345096339324e-167,3.97327815962248,0.846,0.143,4.66139967605718e-163
"FGFBP2",2.65029424462801e-160,6.75558981435923,0.703,0.045,8.92990142784962e-156
"CD7",3.5225435060045e-160,3.26365098042257,0.919,0.34,1.18688580891316e-155
"TRDC",1.04598442360414e-155,4.76725033322216,0.711,0.05,3.52433991689178e-151
"CD247",8.75654864590918e-154,3.53712634283217,0.86,0.229,2.95043150075264e-149
"GZMM",1.74048610388117e-152,3.51346828575192,0.827,0.181,5.86439387841721e-148
"CLIC3",1.14802340038998e-151,6.38489882138486,0.663,0.032,3.868150045274e-147
"HLA-A",1.10157815950055e-145,1.17845137830659,1,0.992,3.71165745062115e-141
"SPON2",2.36470120002908e-145,5.64099927406776,0.675,0.053,7.96762422337797e-141
"XCL2",7.27112956156613e-139,6.05287951449472,0.606,0.02,2.44993439447409e-134
"CCL5",7.42735310533742e-139,4.57879625099044,0.799,0.23,2.50257235531239e-134
"RPL39",1.46895186640433e-135,-1.06230917731052,1,1,4.94948641866274e-131
"IFITM1",1.59700274337279e-132,3.76951254290903,0.868,0.33,5.38094104352026e-128
"CCL4",1.54250961140425e-130,4.80536048698076,0.687,0.088,5.19733188466548e-126
"APMAP",1.08289620491387e-129,3.88251018183489,0.701,0.109,3.64871047283679e-125
"TBX21",2.19245208359077e-128,5.94833341810841,0.577,0.024,7.38724805045076e-124
"HCST",3.68596432333756e-127,1.88766351529675,0.972,0.687,1.24194881910536e-122
"S1PR5",1.12497670989453e-124,7.41377974277341,0.53,0.007,3.79049652631863e-120
"HLA-B",2.38375744754067e-123,0.841570741472069,1,1,8.03183234374354e-119
"SAMD3",4.74565490259919e-123,4.25485065619516,0.624,0.059,1.59900096288177e-118
"GZMH",5.36505771277272e-121,6.26547495717894,0.557,0.028,1.80770254574164e-116
"RPL8",7.58672556581192e-121,-0.892260089759895,0.998,1,2.55627131214467e-116
"RPS9",9.14120796313644e-121,-0.947069451158839,0.988,1,3.08003861109919e-116
"RPL34",2.19559871653758e-119,-1.021637399133,1,1,7.39785031550171e-115
"RPL18A",3.19043682838526e-119,-0.997934312742194,0.998,1,1.07498578495613e-114
"ADGRG1",5.84262239664957e-118,6.20908719094836,0.528,0.017,1.96861319032711e-113
"CD99",1.10039682386682e-114,2.41248930236003,0.872,0.404,3.70767705833686e-110
"PTGDR",5.01266336607133e-112,6.32282132226967,0.502,0.014,1.68896679456407e-107
"TTC38",1.12000226323822e-111,5.5058764940092,0.518,0.022,3.77373562575487e-107
"RPL21",2.46293351888353e-109,-1.0551386268875,0.994,1,8.29860819852617e-105
"C12orf75",9.38529496708516e-108,3.37720028462071,0.661,0.123,3.16228128620967e-103
"RPL12",1.72070691992953e-106,-0.856973490518215,1,1,5.79774989601055e-102
"KLRG1",4.99068251502914e-106,4.54031466603841,0.559,0.059,1.68156056661392e-101
"CD160",7.19261398014329e-106,5.87911336001446,0.5,0.024,2.42347935446948e-101
"CMC1",4.03017716062283e-105,4.04773811554388,0.659,0.145,1.35792789250026e-100
"HLA-DRA",1.51990997100843e-103,-4.15607247754333,0.37,0.829,5.12118465631581e-99
"HLA-E",7.01351621056229e-101,1.12141995138693,0.996,0.942,2.36313415198686e-96
"PYHIN1",1.13770510452451e-100,4.1281383248817,0.543,0.055,3.8333835791849e-96
"ZAP70",1.03293350033053e-99,3.18206458218743,0.665,0.16,3.4803661360137e-95
