"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj"
"MS4A1",1.0269315864879e-185,5.82072163077343,0.969,0.078,3.46014328751234e-181
"CD79A",8.40899728785378e-182,5.73671336888458,1,0.107,2.83332754616945e-177
"IGHD",2.73336602972768e-169,6.07876108206409,0.865,0.052,9.20980350056445e-165
"IGHM",1.2941110556986e-139,5.45624469027253,0.88,0.117,4.36037779107085e-135
"BANK1",1.59488472945246e-136,5.67765481133985,0.698,0.034,5.37380460741713e-132
"LINC00926",5.32686096984227e-131,5.78195208180482,0.672,0.032,1.79483253517865e-126
"CD79B",9.70776977746029e-131,4.13503972051469,0.995,0.276,3.27093594881747e-126
"VPREB3",3.57222064201329e-128,7.05319885985652,0.594,0.014,1.20362402311996e-123
"CD22",1.94119538383322e-126,5.73014093199639,0.672,0.038,6.54066372628765e-122
"FCER2",2.23966640904302e-122,6.30179586227207,0.604,0.022,7.54633199862956e-118
"TNFRSF13C",6.66146742909126e-118,5.51022572445002,0.604,0.026,2.24451483555801e-113
"CD74",7.09697451920452e-100,2.49109279036011,1,0.926,2.39125459450077e-95
"RALGPS2",1.43955249985234e-99,4.83207220272675,0.573,0.037,4.85042819300248e-95
"FAM129C",8.58771573346196e-98,5.42533383323118,0.505,0.02,2.89354493923267e-93
"CD37",8.86957950659944e-87,1.9541063875244,1,0.872,2.98851611895361e-82
"TCL1A",1.32884289038497e-86,5.61586615411124,0.599,0.071,4.47740323486311e-82
"HLA-DQB1",7.06838801105109e-86,2.19131402387993,1,0.52,2.38162265644356e-81
"SPIB",7.47985492994343e-86,5.89482497016114,0.443,0.017,2.52026232009514e-81
"CD19",7.86633620335804e-86,5.43482787295294,0.464,0.022,2.65048332035946e-81
"FCRLA",3.89443795973142e-84,5.32972508084784,0.448,0.019,1.31219192615191e-79
"HLA-DOB",3.79119765238568e-82,5.08806971357246,0.474,0.029,1.27740613699483e-77
"ADAM28",7.37692123431382e-82,5.02025968594327,0.5,0.038,2.4855798406897e-77
"HLA-DRA",2.66319634458582e-79,1.93669725502586,1,0.72,8.97337376344747e-75
"RP11-231C14.7",4.17958807422073e-79,5.18531177597826,0.469,0.031,1.40827040572793e-74
"BLK",1.05654972384894e-78,5.23634194998231,0.432,0.021,3.55993863953662e-74
"CD24",5.34776938434455e-76,5.77908123992842,0.396,0.015,1.80187741636105e-71
"FCRL1",1.06765190032805e-75,5.67221141748705,0.406,0.018,3.59734631296535e-71
"HLA-DPB1",3.60656107276626e-75,1.83788290854516,1,0.645,1.21519468785786e-70
"IGKC",1.23518719385387e-71,5.84984747919411,0.807,0.329,4.16183973097122e-67
"HLA-DPA1",4.17526774926483e-71,1.83156761265394,0.99,0.608,1.40681471543729e-66
"S100A4",7.2747206105128e-70,-3.6022066237153,0.568,0.948,2.45114436250618e-65
"TMSB4X",2.70079083385061e-69,-0.829827850527015,1,1,9.10004463557625e-65
"HCST",2.61295776343907e-68,-3.8284029988772,0.161,0.871,8.80409988813162e-64
"MEF2C",3.2341815399303e-68,2.72263915803967,0.818,0.267,1.08972512806411e-63
"EAF2",1.19923650562139e-67,3.82068298095981,0.557,0.086,4.04070748204072e-63
"SRGN",3.59565203596627e-65,-4.01906356129932,0.177,0.838,1.21151899699848e-60
"POU2AF1",3.73397081332184e-65,5.70442624104832,0.339,0.012,1.25812412584066e-60
"RP11-693J15.5",4.71159263816362e-65,6.72195286344618,0.323,0.009,1.58752402350285e-60
"ORAI2",1.06616092651596e-64,3.33103360425739,0.583,0.103,3.59232262580289e-60
"ARHGAP24",4.86096293696803e-64,4.11301527635017,0.432,0.039,1.63785285198201e-59
"TSPAN13",1.18578947881699e-63,5.42532626691763,0.333,0.012,3.99539906992598e-59
"IGLC2",1.32305516589489e-63,6.61972859599228,0.448,0.048,4.45790207596624e-59
"RPL18A",1.09354159002178e-62,0.762719208666123,1,1,3.68457903341937e-58
"BLNK",2.40292296509239e-62,5.5306501433444,0.323,0.011,8.0964086385823e-58
"PLPP5",1.3201833408137e-60,4.39304658798969,0.474,0.062,4.44822574853768e-56
"IGLC3",8.83004358269691e-60,5.90662706898042,0.432,0.047,2.9751948847539e-55
"HLA-DRB1",7.2536376956582e-58,1.4694538352583,0.995,0.626,2.44404068517507e-53
"RPS11",3.9896005687544e-57,0.805938294090328,1,0.992,1.34425601563611e-52
"P2RX5",5.0146726229545e-57,4.47055810415767,0.375,0.031,1.68964379357829e-52
"GNG7",9.59870597013093e-57,4.34513398232413,0.375,0.031,3.23418798957592e-52
"HLA-DQA1",1.23597981007567e-56,1.64630663423075,0.938,0.4,4.16451037206896e-52
"S100A6",7.20460709962631e-56,-2.92984382637584,0.63,0.94,2.42752031614809e-51
"B2M",2.55775892634498e-55,-0.720485731516911,1,1,8.61811292642677e-51
"PDLIM1",8.68941799258027e-55,3.68230520951067,0.438,0.056,2.92781249841999e-50
"KIAA0125",1.20452244699188e-54,5.11657110448632,0.323,0.019,4.05851793289445e-50
"CD40",7.99189232499543e-54,4.20133343081044,0.406,0.048,2.69278819998396e-49
"HLA-DMB",1.58918584641469e-52,2.24675112260491,0.776,0.288,5.35460279090967e-48
"IRF8",8.14463526597141e-52,2.78181143920964,0.656,0.2,2.74425340651641e-47
"PFN1",3.99525283386927e-51,-1.32734041557042,0.932,0.996,1.34616048984391e-46
"NCF1",4.1987741534121e-51,2.19553358728046,0.792,0.321,1.41473496325067e-46
"FCRL5",7.00283269760131e-51,5.70527921558928,0.26,0.008,2.35953444912978e-46
"PKIG",7.17673410948875e-51,4.95006201480909,0.302,0.018,2.41812879085114e-46
"SWAP70",1.51252546481801e-50,3.45499740748725,0.479,0.086,5.09630330115779e-46
"HLA-DMA",6.41058851746797e-50,1.92093701703636,0.844,0.379,2.15998369507566e-45
"ITGB2",6.82043739460753e-50,-2.39052748921639,0.396,0.857,2.29807817573906e-45
"FYB",1.59583846734482e-49,-4.02485556601655,0.062,0.702,5.37701813187162e-45
"RPL8",1.60932598077147e-49,0.628164313617568,1,1,5.42246295961138e-45
"HVCN1",3.55340152499414e-48,3.14518964155878,0.589,0.166,1.19728310983153e-43
"FCRL2",7.156970568775e-47,5.08960577138391,0.266,0.013,2.41146966344305e-42
"CYB561A3",1.50229898530054e-46,2.75032696940437,0.578,0.159,5.06184620107165e-42
"BCL7A",2.17985135915112e-46,4.60458805390566,0.307,0.025,7.34479116952378e-42
"CD72",4.38727711769444e-46,4.25149444049903,0.328,0.031,1.47824915203596e-41
"RPS23",1.88660544069727e-45,0.623830239118974,1,1,6.3567283718854e-41
"RPL13A",1.97708057526804e-45,0.586032831325872,1,1,6.66157529030814e-41
"RASGRP3",2.33815794696849e-45,5.01954285502858,0.255,0.012,7.87818938651563e-41
"LTB",1.89087833699128e-44,1.30654787642183,0.974,0.724,6.37112546865843e-40
"BCL11A",1.04447600613101e-43,3.82168333385626,0.396,0.063,3.51925745505782e-39
