"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj"
"MS4A1",6.65972715097856e-227,7.0237483239838,0.975,0.024,2.24392846625072e-222
"CD79A",1.79049335547269e-214,6.89632773454938,0.985,0.046,6.03288831192967e-210
"BANK1",1.40802271610331e-208,7.55393718204072,0.889,0.017,4.74419173963848e-204
"LINC00926",5.95861304476282e-204,7.23106959130909,0.864,0.013,2.00769507930238e-199
"FAM129C",7.95444207398444e-193,7.45961556995331,0.814,0.01,2.68016971240832e-188
"IGHM",1.02404775654158e-169,6.35672482458371,0.764,0.017,3.4504265108912e-165
"CD19",3.4545025652685e-161,7.44931534871911,0.688,0.007,1.16396009434157e-156
"RALGPS2",1.25511221852232e-154,5.57590773147316,0.799,0.047,4.22897510908909e-150
"FCRL1",2.44354987475157e-153,7.34118877527523,0.673,0.01,8.23329694798795e-149
"FCRLA",4.42702203015243e-149,8.51742153726632,0.633,0.005,1.49164080283956e-144
"CD22",1.02879629839715e-145,7.04605719173997,0.638,0.008,3.46642624781934e-141
"AFF3",4.83589585836386e-142,5.95700998161488,0.719,0.036,1.62940675051712e-137
"TCL1A",2.34570521195247e-138,7.49270643285395,0.608,0.008,7.90361914115267e-134
"CD79B",3.93555972492048e-137,4.29392862362992,0.96,0.19,1.32604749371471e-132
"FCER2",8.93717968937647e-136,6.4359469118966,0.638,0.017,3.01129332453851e-131
"BLK",1.3894644178583e-133,4.97884558359811,0.668,0.026,4.68166140953175e-129
"HLA-DQA1",2.42933371284861e-132,3.65463019364765,0.995,0.24,8.18539701207211e-128
"VPREB3",2.30454613339366e-131,7.28054876685808,0.578,0.007,7.76493774185659e-127
"SPIB",1.46478543403104e-129,7.45927098015166,0.583,0.01,4.9354480414242e-125
"HLA-DQB1",3.19795169596821e-128,3.70479659719769,0.955,0.189,1.07751784443953e-123
"HLA-DOB",2.07541266461954e-126,7.81152780351535,0.553,0.006,6.99289543216908e-122
"IGHD",9.8377547912126e-124,7.36960577664046,0.553,0.008,3.31473309935117e-119
"ADAM28",4.55887257107199e-119,5.97152286545916,0.583,0.019,1.53606652409699e-114
"POU2AF1",3.17921836305242e-114,7.46664873210742,0.503,0.005,1.07120583524688e-109
"BLNK",4.65550062261671e-107,6.90310175012917,0.497,0.01,1.56862437978447e-102
"TNFRSF13C",6.51992701507286e-107,7.04552163708553,0.487,0.008,2.19682420845865e-102
"GNG7",2.28793748271768e-106,5.88989197033677,0.518,0.015,7.70897655426895e-102
"CD24",6.73762127072918e-103,8.33997079353676,0.447,0.003,2.27017411095949e-98
"ARHGAP24",1.22567043568405e-102,4.53180340636369,0.618,0.049,4.12977396599384e-98
"CD74",1.69085535782552e-99,2.59827161160052,1,0.893,5.69716804265731e-95
"KIAA0226L",4.43462060760796e-98,5.48531031937435,0.513,0.022,1.49420106752743e-93
"CD37",5.9639200896506e-97,2.17880567980221,0.995,0.93,2.00948323500687e-92
"TSPAN13",2.20187635582142e-96,7.26815182236141,0.437,0.006,7.41900219330468e-92
"IGKC",6.39320698235777e-95,5.87653642213703,0.487,0.019,2.15412716063563e-90
"PAX5",1.0705707260961e-94,6.51343070796126,0.437,0.007,3.6071810045082e-90
"SWAP70",2.54582332598384e-91,3.61159126048123,0.754,0.142,8.57789711456995e-87
"PDLIM1",6.04054206508974e-90,4.21534394142798,0.558,0.043,2.03530024341134e-85
"CD72",8.68473983982949e-88,5.70447578248657,0.477,0.024,2.92623624163215e-83
"HLA-DRA",5.83049049764441e-87,2.19026412659629,0.99,0.433,1.96452546827631e-82
"HLA-DQA2",1.95841864748217e-84,2.73852854634113,0.829,0.194,6.59869579082642e-80
"PLPP5",4.7987925030677e-84,4.06174015435841,0.653,0.099,1.61690514598363e-79
"COBLL1",1.65615720481243e-82,7.31764431902787,0.367,0.003,5.58025608589501e-78
"TSPAN3",8.35257693666498e-82,3.42763384607291,0.719,0.143,2.8143172730399e-77
"BTLA",4.37962453814713e-81,5.91089731245161,0.412,0.014,1.47567069188329e-76
"S100A4",3.27762561920909e-80,-4.59666656629953,0.291,0.917,1.10436317613631e-75
"IGLC3",5.67947192259814e-80,7.79809888493699,0.367,0.005,1.91364126960022e-75
"CD40",2.44098952421829e-78,4.08094765588832,0.573,0.071,8.22467010290112e-74
"HLA-DPB1",5.11501493825172e-78,2.15201970203037,0.98,0.509,1.72345313329453e-73
"PKIG",1.34250356005244e-77,5.08929397910514,0.417,0.018,4.52343149524068e-73
"JCHAIN",3.64524497604587e-76,7.56337834814061,0.352,0.005,1.2282288422289e-71
"CYB561A3",4.74688968137293e-76,3.23310236454972,0.754,0.198,1.59941700924179e-71
"HVCN1",8.39565975489326e-76,3.37988438106949,0.764,0.214,2.82883359781373e-71
"PNOC",1.03242910996221e-75,5.81171557767929,0.387,0.013,3.47866664310666e-71
"FYB",1.90806106028714e-74,-4.49245914593688,0.05,0.848,6.42902093653148e-70
"HCST",6.65609536872444e-74,-4.28058201096882,0.141,0.867,2.24270477353801e-69
"RP11-693J15.5",3.56396570540038e-73,8.51289852326828,0.317,0.001,1.20084260477761e-68
"IGHV5-78",4.25580638473212e-73,8.28621357197683,0.317,0.001,1.43395140327164e-68
"COL19A1",5.74946608025025e-73,8.3216213778245,0.327,0.003,1.93722510107952e-68
"RP11-231C14.7",3.28631667711773e-72,5.59319928572315,0.392,0.018,1.10729154118805e-67
"MZB1",1.30087266503618e-71,6.35080572830553,0.352,0.009,4.38316035757292e-67
"BCL7A",1.44345804528618e-71,5.0803067853589,0.412,0.024,4.86358753778725e-67
"SRGN",5.7227679936761e-71,-4.44111971827554,0.166,0.843,1.92822944778923e-66
"HLA-DOA",4.58882747708642e-70,4.48505021002944,0.432,0.031,1.5461595301295e-65
"SEL1L3",7.5798068589066e-70,3.50431942048359,0.523,0.059,2.55394012303999e-65
"SNX22",2.43166212412747e-69,5.37369112749636,0.362,0.013,8.19324236103509e-65
"HLA-DRB1",2.53189007143996e-69,1.68848223480409,1,0.46,8.53095040670981e-65
"CLEC17A",3.48116298667312e-69,6.71864504415188,0.327,0.006,1.17294305672964e-64
"IGLC2",4.06943213829514e-69,7.56536971875142,0.317,0.004,1.37115446467717e-64
"KIAA0125",4.07714099722412e-69,7.25446330563824,0.307,0.002,1.37375188760469e-64
"MEF2C",4.196849058627e-69,2.98052824333929,0.759,0.21,1.41408632181378e-64
"STAP1",7.46699731469435e-69,4.72709998303302,0.387,0.019,2.51593007521312e-64
"TPD52",4.48048683797854e-68,3.12083751152391,0.608,0.1,1.50965523518849e-63
"HLA-DPA1",4.62346008666958e-67,1.80003856750201,0.995,0.501,1.55782864160245e-62
"LCN8",1.08517183054631e-66,6.30353788201024,0.322,0.007,3.65637796584274e-62
"S100A6",6.9748217026307e-66,-3.52966396438091,0.513,0.94,2.35009642448439e-61
"TMSB4X",4.93878348066266e-65,-1.03476114470026,0.995,0.999,1.66407370597447e-60
"BACH2",7.57471715467233e-65,3.68105209728456,0.578,0.103,2.55222519809529e-60
"IRF8",2.39126947128268e-64,3.04322592848201,0.678,0.17,8.05714335653988e-60
"HLA-DRB5",1.5305512617365e-63,1.71390892517968,0.965,0.402,5.15703942129498e-59
