"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD8B",6.43051144680412e-114,3.54300524325969,0.754,0.129,2.16669652688618e-109
"CD8A",5.60502769102504e-80,2.62534551878597,0.718,0.161,1.88855803021398e-75
"CD3E",1.74743379310407e-69,1.64141437568641,0.964,0.438,5.88780342248485e-65
"CD3D",1.73690635194142e-63,1.62148457889173,0.944,0.436,5.85233226223144e-59
"CD3G",2.1106700586614e-53,1.7789656725161,0.762,0.258,7.11169169565373e-49
"IL32",3.94894917484524e-52,1.35664958235036,0.972,0.513,1.33055893497235e-47
"HLA-DRA",6.40710147546573e-50,-4.24635590650929,0.337,0.741,2.15880877114342e-45
"RP11-291B21.2",2.5085606236587e-49,3.40503256856287,0.337,0.04,8.45234416535561e-45
"TYROBP",1.21738644784152e-47,-4.66074076623029,0.167,0.639,4.10186189735723e-43
"CD74",3.50793284423282e-42,-2.54089335892626,0.857,0.935,1.18196289253581e-37
"PTPRCAP",6.35701459642446e-42,2.30733643523334,0.421,0.085,2.14193249811926e-37
"LEF1",8.09733297410369e-41,1.96082065465431,0.552,0.168,2.7283153722945e-36
"RPS12",3.16430678769604e-40,0.684218787433969,1,0.999,1.0661815290463e-35
"RPS3",7.66530433367456e-38,0.497870081262374,1,0.999,2.58274764218831e-33
"FCER1G",1.3648080743645e-37,-4.18028322906206,0.198,0.586,4.59858432576373e-33
"CTSS",1.39738408386271e-37,-3.48326308985689,0.373,0.696,4.70834593216702e-33
"NELL2",1.01922520817042e-36,2.40065468905953,0.393,0.091,3.43417741640941e-32
"IFITM1",1.72260005442992e-36,1.57755080331977,0.829,0.45,5.80412862339616e-32
"HLA-DQB1",7.71731996177062e-35,-3.12489497740572,0.202,0.591,2.60027378791899e-30
"RPL30",1.23062174163938e-33,0.678944169059632,1,1,4.14645689627972e-29
"CD27",6.90084712931988e-33,1.34414708674483,0.687,0.284,2.32517143175304e-28
"LCK",8.54837789781773e-33,1.1104618377892,0.837,0.428,2.88029044889071e-28
"RPS15A",2.75871478072252e-32,0.429578577752346,1,1,9.29521358216647e-28
"RPL14",4.93183964563245e-32,0.559780501347928,1,0.998,1.6617340501994e-27
"S100A9",5.19452144003128e-32,-4.49206891641316,0.361,0.701,1.75024205400414e-27
"MT-ATP8",6.52553185688064e-32,2.08233994046372,0.456,0.145,2.19871270385736e-27
"CTD-2192J16.22",1.29806683110666e-31,2.30378033985149,0.321,0.064,4.37370638073079e-27
"NUCB2",2.26882000782623e-31,1.59660251547112,0.552,0.203,7.6445621343697e-27
"THEMIS",5.43112462998124e-31,2.21768660737401,0.353,0.084,1.82996313282588e-26
"AC090498.1",7.69655345336778e-31,1.88103853214902,0.956,0.872,2.59327672057774e-26
"HLA-DRB1",1.4224888914939e-30,-2.77924712291385,0.381,0.659,4.79293407099954e-26
"CST3",2.46830566479839e-30,-4.56528350386722,0.21,0.557,8.31670910697169e-26
"H3F3A",3.33592359695452e-30,-0.911280653840914,0.952,0.967,1.12400609675786e-25
"RPS21",3.9274767736974e-30,0.570833469104695,1,0.994,1.3233240241296e-25
"CYBA",4.39765053903951e-30,-1.01423972886305,0.897,0.956,1.48174437262397e-25
"RPS4X",6.87169656434448e-30,0.511809972124288,1,1,2.31534944039023e-25
"PDE3B",1.45874705947494e-29,2.31288876313066,0.313,0.067,4.91510234219488e-25
"LAT",1.54216162707025e-29,1.15579567302723,0.738,0.33,5.1961593862505e-25
"LYZ",1.65113557790912e-29,-4.34062243993967,0.361,0.668,5.56333621620698e-25
"RPS10",3.46658714647516e-29,0.696899262774034,1,0.994,1.16803187313334e-24
"MEF2C",8.3414568982346e-29,-6.47532705313834,0.008,0.371,2.81057048729117e-24
"CTSW",1.14124983156642e-28,0.532569700007018,0.845,0.384,3.84532718247989e-24
"GZMM",3.23820837327253e-28,0.893542078732361,0.722,0.307,1.09108192929045e-23
"RPL19",4.29426361400931e-28,0.442656995529552,1,0.999,1.4469091821043e-23
"OXNAD1",6.18308231571176e-28,1.87401028376958,0.413,0.122,2.08332775545592e-23
"LST1",7.55246492082775e-28,-4.7820821646339,0.163,0.496,2.5447275304237e-23
"FTH1",1.04954417653177e-27,-1.61944231092105,0.98,0.996,3.53633414840616e-23
"EEF1G",1.24789879141189e-27,2.25614760698612,0.48,0.198,4.20467018778321e-23
"SARAF",1.56573097691339e-27,0.822093854805026,0.937,0.856,5.27557395361196e-23
"SPI1",3.89786719306001e-27,-5.11205679498138,0.028,0.377,1.31334737202964e-22
"PSAP",4.22423034803036e-27,-2.54094817379356,0.468,0.685,1.42331217346535e-22
"LDHB",4.82758455469458e-27,0.972916086154171,0.873,0.655,1.62660633985879e-22
"OAZ1",1.47700466890242e-26,-0.956668953766302,0.94,0.958,4.97661953139981e-22
"MNDA",3.41504516540251e-26,-4.94471385897604,0.04,0.382,1.15066531803072e-21
"HSPA8",9.89543867739845e-26,0.791071463803608,0.944,0.78,3.33416910796263e-21
"TCF7",1.64314868217984e-25,1.40428754947937,0.611,0.294,5.53642516973677e-21
"EEF1A1",2.73408387288212e-25,0.510534889617193,1,1,9.21222220128902e-21
"LYN",4.2486320328865e-25,-3.65662715137831,0.052,0.39,1.43153407716078e-20
"TRBC2",5.43276850503859e-25,1.03324622635418,0.833,0.511,1.8305170200877e-20
"HLA-DPA1",5.93341701610865e-25,-2.54728615187812,0.421,0.651,1.99920552940765e-20
"CSTA",6.74067983401903e-25,-5.78735412549791,0.016,0.341,2.27120466327437e-20
"FTL",6.91526190330654e-25,-2.13783165266367,0.992,0.997,2.33002834570011e-20
"PASK",6.95589938541431e-25,2.67268946529578,0.222,0.038,2.3437207389215e-20
"MT-ND6",7.8391437276526e-25,1.51967190438016,0.496,0.206,2.64132108759527e-20
"HLA-DQA1",1.13291372622216e-24,-3.07459736053725,0.167,0.484,3.81723950913295e-20
"GYPC",1.20649404659372e-24,0.972761669700201,0.77,0.422,4.06516104059289e-20
"SCML4",1.24226994634062e-24,2.00429426996548,0.333,0.091,4.18570435720008e-20
"FLT3LG",1.63795979634539e-24,1.59565016561106,0.496,0.199,5.51894173780617e-20
"S100A8",1.95212949143373e-24,-4.43691376554784,0.306,0.635,6.57750510843682e-20
"NME2",2.69295082997977e-24,2.04643714676017,0.361,0.113,9.07362852653382e-20
