"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VCAN",1.5077324546138e-222,5.88043011091452,0.919,0.08,5.08015373257572e-218
"MS4A6A",6.48441306230061e-192,5.2769972873124,0.824,0.068,2.18485813721157e-187
"CD14",1.59422683176958e-189,5.27770052170275,0.824,0.07,5.37158788696442e-185
"S100A12",1.39793338474104e-188,5.89613294524757,0.866,0.11,4.71019674654646e-184
"LYZ",1.42728009200189e-187,4.36771164703787,1,0.655,4.80907754199118e-183
"MNDA",9.77797590116375e-174,3.29544230408147,0.972,0.254,3.29459120013811e-169
"S100A8",2.14843576921547e-173,5.57243992284696,0.99,0.599,7.23893948079462e-169
"GPX1",6.84455480852392e-171,2.82653886912016,0.992,0.523,2.30620429718405e-166
"S100A9",9.39735663887232e-171,4.70072245033597,0.995,0.69,3.16634534590164e-166
"FCN1",1.5988359888927e-165,3.0397607597387,0.975,0.278,5.38711798097508e-161
"CSF3R",1.75366420149555e-158,4.40836559485002,0.766,0.083,5.90879616051909e-154
"CSTA",5.75964383176338e-151,3.10499141189629,0.912,0.208,1.94065439267435e-146
"MALAT1",3.90375893743941e-150,-1.58458120063036,1,1,1.31533253638084e-145
"CD36",1.02742683061194e-146,4.55718482999218,0.7,0.062,3.46181196306387e-142
"S100A6",3.2916347096995e-140,2.01927851337964,1,0.869,1.10908339908615e-135
"GRN",1.77782623337766e-132,2.75761849777082,0.889,0.304,5.99020771074268e-128
"RPS29",2.56318182619372e-132,-1.83900527653308,0.922,1,8.63638484517713e-128
"TSPO",9.60178188862863e-132,2.07592398388651,0.987,0.577,3.23522438955453e-127
"CST3",2.49988362315465e-128,2.16185062701831,1,0.489,8.42310787985729e-124
"RPL23A",2.52913164240964e-121,-1.34061140342071,0.99,0.999,8.52165615593504e-117
"RPS27",2.44838789352747e-120,-1.45960781063142,0.997,1,8.24959816845147e-116
"GSTP1",6.02980753399163e-120,1.83146472324643,0.98,0.638,2.03168335050314e-115
"VIM",2.54011989464561e-119,2.06850564606654,0.992,0.774,8.55867997301892e-115
"NFKBIA",4.73931826661235e-118,3.0983855243688,0.929,0.492,1.59686589675237e-113
"RPL27A",4.0643472578883e-116,-1.38180816583143,0.929,1,1.36944116507288e-111
"FOS",4.53079231686479e-116,1.56335513041735,1,0.941,1.52660516324442e-111
"GAPDH",4.61336400215094e-116,1.52763627880918,0.995,0.89,1.55442686688474e-111
"RPS19",1.8935139365604e-113,-0.995707049857843,0.997,1,6.38000585784661e-109
"CPVL",1.01947287428922e-110,3.07179202474061,0.746,0.165,3.43501190263008e-106
"TNFSF13B",6.82974736436317e-110,2.93886644562961,0.738,0.155,2.30121507694853e-105
"GABARAP",1.1541647828304e-109,3.92725524053636,0.791,0.25,3.88884281926873e-105
"RPL31",1.64720328466738e-109,-1.37352523268881,0.957,1,5.55008674735825e-105
"CD302",2.55165103096681e-109,3.03796773894281,0.713,0.137,8.59753298373957e-105
"TYROBP",2.7178007188773e-109,1.68467784461729,1,0.553,9.15735774218517e-105
"CYBB",7.17675521286211e-109,2.70072898616285,0.806,0.213,2.41813590142176e-104
"LGALS1",7.15635780630977e-108,1.86368802077422,0.985,0.484,2.41126319925801e-103
"PLBD1",1.70973746059798e-107,4.26803597472239,0.577,0.063,5.76078939973882e-103
"FGL2",1.89140428294221e-107,2.37576236542727,0.844,0.23,6.37289759094548e-103
"RNF130",2.47918493957766e-107,2.62549199460964,0.793,0.212,8.35336573541297e-103
"RPS20",3.46671431197666e-107,-1.50872874040225,0.861,1,1.16807472027742e-102
"KLF4",4.10240409467171e-107,2.5525657318398,0.836,0.248,1.38226403565869e-102
"RPL3",6.31245809857464e-107,-1.22950596232702,0.992,1,2.12691963173374e-102
"HLA-C",3.44328685523373e-105,-1.1723456900626,0.99,0.999,1.16018107300245e-100
"MGST1",7.39164233313114e-105,4.88769800764012,0.501,0.03,2.49053996772521e-100
"EVL",3.82998821785862e-104,-3.05479163327002,0.252,0.833,1.29047623012528e-99
"ATP6V0C",8.57109512988539e-104,7.19180123847687,0.436,0.007,2.88794479306358e-99
"MT-ATP8",9.57355881113054e-104,5.5829318505952,0.539,0.054,3.22571490582232e-99
"IL1B",3.25314908446183e-102,4.01967283165528,0.622,0.101,1.09611605251857e-97
"MT-CO2",3.02441461493451e-101,0.91128441842713,1,0.999,1.01904626035603e-96
"BLVRB",5.69207407477525e-101,3.04958689037961,0.713,0.171,1.91788743875477e-96
"S100A10",2.44589645519112e-98,1.99573876989146,0.962,0.677,8.24120351612097e-94
"NCF2",6.81036819931529e-97,2.64828357580419,0.725,0.167,2.29468546107729e-92
"LGALS2",4.12699558000935e-96,3.39801492844789,0.665,0.142,1.39054989072835e-91
"AP1S2",4.23064955398507e-96,2.2252787703804,0.877,0.389,1.42547506071973e-91
"FTH1",6.37083060139394e-96,1.36108614157668,1,0.993,2.14658766283367e-91
"RPS24",1.63326458091243e-95,0.678133714161378,1,0.999,5.50312167892635e-91
"TNFAIP2",2.31675556182739e-95,3.62067619099334,0.587,0.091,7.80607619002122e-91
"S100A4",1.53509038551814e-94,1.34175856513651,1,0.865,5.17233354496483e-90
"KCTD12",2.88640813173134e-94,3.68238203766149,0.562,0.078,9.72546355905559e-90
"TALDO1",4.00323647685322e-94,2.12367100297252,0.872,0.402,1.34885049851093e-89
"CRTAP",2.70592510046609e-93,3.3831606624753,0.579,0.085,9.11734403351045e-89
"CTSS",6.47296162351349e-93,1.55860454769397,0.997,0.64,2.18099968942663e-88
"MT-ND1",1.00485779315805e-92,1.02057917057141,1,0.975,3.38576784826673e-88
"MT-ND4L",1.42550226498616e-92,2.40604831481397,0.924,0.592,4.80308733164436e-88
"LGALS3",3.54667802165042e-92,2.52843330179197,0.758,0.214,1.19501769261489e-87
"CFP",5.71550461879705e-92,2.14944847403352,0.801,0.237,1.92578212625748e-87
"NEAT1",2.69551805338067e-91,1.59168715874876,1,0.696,9.08227852906083e-87
"S100A11",3.16829006222296e-91,1.50326878048082,0.995,0.528,1.0675236535654e-86
"RPL13A",3.53080771218708e-91,-1.2117708303201,0.987,1,1.18967035054431e-86
"SERPINA1",2.82870867028039e-90,1.67911543761034,0.892,0.247,9.53105099364276e-86
"ALDH2",6.24050963433199e-90,3.8390451180718,0.514,0.061,2.10267731619182e-85
"FTL",1.2307932178734e-89,1.38850771736933,1,0.995,4.14703466830264e-85
"MT-ND3",5.07765911276988e-89,0.895705786155374,1,0.997,1.71086646145668e-84
"JAML",4.18496584188504e-87,2.46127041912528,0.738,0.231,1.41008239076475e-82
"CEBPD",1.40112663362357e-86,2.5970020731863,0.736,0.224,4.72095607933124e-82
"RBP7",3.19418657549702e-85,3.61768870912779,0.542,0.084,1.07624922474797e-80
"FPR1",3.98989326828324e-85,4.3797257257991,0.479,0.053,1.34435463781536e-80
"FCGRT",7.59984014310244e-85,2.14006189875691,0.793,0.29,2.56069013781694e-80
"NAIP",8.49748927573535e-85,3.55486710236936,0.501,0.059,2.86314403656627e-80
"TKT",1.90141807226014e-83,1.7493793228765,0.909,0.453,6.40663805267333e-79
"NME2",3.35476618785603e-83,4.65288324078107,0.466,0.053,1.13035491933621e-78
"KLF10",4.69425987495637e-83,3.35335769112649,0.531,0.077,1.5816839222678e-78
"AIF1",1.57535435989539e-82,1.20399833931123,0.992,0.371,5.30799898023154e-78
"RNASEK",1.769052120529e-82,4.09862432440015,0.496,0.069,5.96064421491042e-78
"B2M",3.16645965846185e-82,-0.82149828095449,1,1,1.06690691732214e-77
"RPL41",3.60573682509666e-82,-0.751113157512395,1,1,1.21491696584807e-77
"CFD",4.03909051789247e-82,1.62790600650135,0.849,0.246,1.36093115909869e-77
"LTB",1.29644903683373e-81,-2.87966295780634,0.35,0.819,4.36825538470758e-77
"RAB31",1.64310097074917e-81,3.24962942240044,0.564,0.108,5.53626441084225e-77
"NBPF26",2.24179571567647e-81,5.36913247900999,0.411,0.029,7.5535064844003e-77
"CAPG",2.64589080826441e-81,2.52860008691322,0.67,0.18,8.91506448936612e-77
"CXCL8",1.35600195261953e-80,3.36325179247926,0.579,0.116,4.56891297915623e-76
"NUP214",2.13477731355936e-80,2.60744736761341,0.65,0.161,7.1929186803069e-76
"RPS25",2.64478213748307e-80,-1.02788187123249,0.987,1,8.91132893403544e-76
"TYMP",3.48318249157809e-80,1.48000953077041,0.932,0.383,1.17362350871232e-75
"RPSA",6.7609824318656e-80,-1.19787930171073,0.932,0.995,2.2780454205928e-75
"IGSF6",1.40326014001321e-79,2.52919103686215,0.652,0.161,4.72814471576052e-75
"ASGR1",2.06141154620625e-79,3.71039168447202,0.476,0.059,6.94572006378733e-75
"CLEC4E",2.89250996771848e-79,6.07179510219051,0.345,0.006,9.74602308523063e-75
"MT-CO1",4.95863378646785e-79,0.7293272821683,1,1,1.67076206801248e-74
"SPI1",1.54054044288695e-78,1.58152636764962,0.861,0.276,5.19069696826328e-74
"HLA-B",3.90347267053923e-78,-0.824321698053421,1,1,1.31523608161149e-73
"RGS2",1.45977700209264e-77,1.73534125206031,0.897,0.396,4.91857263085095e-73
"RPS6",2.06956606786594e-77,-1.01425927493266,0.995,1,6.97319590906749e-73
"PGD",2.11866290586806e-77,3.03365406910696,0.592,0.135,7.13862279503184e-73
"CTSB",5.4220137073553e-77,2.43881644620183,0.705,0.237,1.82689329855629e-72
"FOSB",6.89198311456718e-77,2.14238092217419,0.907,0.651,2.32218479062227e-72
"PTCH2",7.20801833768735e-77,4.35755426054287,0.436,0.044,2.42866969870038e-72
"RPS3",1.13712687147689e-76,-0.886296106222399,0.997,0.999,3.83143528075424e-72
"RP11-1143G9.4",1.47693908785336e-76,4.44295975685731,0.572,0.142,4.97639856261311e-72
"MPEG1",9.16841433836563e-76,2.5702938231027,0.662,0.185,3.08920552716892e-71
"PSAP",6.2253592158762e-75,1.18540736457769,0.985,0.61,2.09757253419733e-70
"HLA-DRB5",2.43400809875669e-74,4.22599677806589,0.529,0.109,8.20114688795078e-70
"LST1",6.04006260107332e-73,0.64443302520497,0.992,0.378,2.03513869280564e-68
"C4orf48",4.78201038692101e-72,2.03181041349366,0.771,0.29,1.61125057976916e-67
"RPL21",6.08500433039869e-72,-0.962394954438217,0.997,1,2.05028135908454e-67
"GLTSCR2",2.74716948166897e-71,-1.40766374882428,0.746,0.93,9.25631285153541e-67
"CLEC12A",3.14104872770534e-71,2.59609655310825,0.587,0.137,1.05834495831304e-66
"RPS18",9.00768529974335e-71,-0.908611221897415,0.99,1,3.03504948489553e-66
"DMXL2",9.8892481383951e-71,3.63324512528815,0.443,0.06,3.33208326775084e-66
"H3F3A",1.09707070898546e-70,0.888284958512423,0.995,0.96,3.69647004685562e-66
"RPS27A",4.93875130034704e-70,-0.758243891726711,1,1,1.66406286313893e-65
"XIST",6.03106378765238e-70,9.71848351088009,0.287,0,2.03210663261159e-65
"APLP2",8.71219215198537e-70,2.14358429850776,0.728,0.278,2.93548602368995e-65
"JUND",1.38396454983494e-69,1.86147111798201,0.872,0.477,4.66313015421386e-65
"ZNF385A",1.04639662892111e-68,3.26315514862062,0.474,0.08,3.52572880148677e-64
"IFI30",2.25228563627803e-68,1.7999159684117,0.723,0.213,7.58885122287518e-64
"SGK1",3.11741375209442e-68,3.25063548998119,0.489,0.086,1.05038138963069e-63
"SRGN",1.36235297568128e-67,1.18646819111468,0.992,0.68,4.59031211626049e-63
"RPL15",4.33098520345145e-67,-0.642244853463869,1,1,1.45928215445093e-62
"TRAPPC5",4.55514111714609e-67,4.02898135503555,0.395,0.043,1.5348092480112e-62
"CLEC7A",1.57318096012226e-66,1.97242402560872,0.685,0.197,5.30067592703594e-62
"RAC1",1.92874672251327e-66,1.48562222644318,0.884,0.529,6.49871920683621e-62
"ODF3B",2.02976953446912e-66,2.99548493029387,0.506,0.1,6.83910546944024e-62
"CTSD",2.35721355274483e-66,1.78091989659747,0.872,0.45,7.94239534461842e-62
"CLEC4A",5.73432317967075e-66,2.55331497661748,0.562,0.137,1.93212285215826e-61
"CD69",6.23756592899103e-66,-2.98840999118792,0.224,0.695,2.10168546411424e-61
"ATP6V0B",1.73433870516087e-65,1.69602740892872,0.829,0.41,5.84368083316903e-61
"AHNAK",2.69750765105485e-65,2.09954778717903,0.763,0.358,9.0889822794642e-61
"GCA",4.21870176323217e-65,2.36744972325667,0.632,0.191,1.42144937210345e-60
"AGTRAP",7.95581207889673e-65,2.15821163825492,0.662,0.217,2.68063132186346e-60
"RPL10A",8.31640568951523e-65,-0.848789496138339,0.972,1,2.80212973302526e-60
"RNASE6",1.34606360068457e-64,2.89493049731951,0.479,0.083,4.5354266961466e-60
"LRP1",1.64109347323721e-64,3.86122021622678,0.395,0.048,5.52950034872545e-60
"SLC11A1",4.40643175288544e-64,2.63206243162618,0.562,0.145,1.48470311481722e-59
"DUSP6",6.01695236916319e-64,2.01913078817118,0.675,0.214,2.02735193126584e-59
"TGFBI",1.06583530053554e-63,2.73258964983696,0.516,0.113,3.59122546162446e-59
"CD68",1.38901339646144e-63,1.33482785928084,0.781,0.23,4.68014173803716e-59
"CTSH",1.46534769032687e-63,1.89926136874774,0.698,0.247,4.93734250778737e-59
"RAB32",3.16783900584294e-63,2.76919059239395,0.499,0.102,1.06737167462872e-58
"UBB",9.26487459820034e-63,-1.34373884214522,0.758,0.946,3.12170684711762e-58
"SH3BGRL3",1.52888709017355e-62,0.859142184200296,0.995,0.931,5.15143216163074e-58
"BST1",2.53300172720789e-62,3.77090555732976,0.388,0.048,8.53469601965426e-58
"RPS5",5.55504374737033e-62,-0.94668051721381,0.975,0.997,1.87171644023896e-57
"EIF4A2",1.6033420915175e-61,-1.61984332430392,0.501,0.857,5.40230084315907e-57
"PYCARD",2.08368088137792e-61,1.3127928115206,0.887,0.425,7.02075436171477e-57
"STXBP2",2.23091991228173e-61,1.24237471900135,0.866,0.36,7.51686155244205e-57
"COTL1",2.97086242066193e-61,0.943288597887383,0.987,0.642,1.00100238401783e-56
"RPS17",3.80300786061004e-61,-0.872742656194233,0.955,0.998,1.28138546855395e-56
"MCL1",4.22511010644345e-61,1.66165091904384,0.861,0.541,1.42360859926506e-56
"RPS4Y1",4.32717017524265e-61,-1.40162954317253,0.443,0.93,1.45799671884626e-56
"RPLP2",6.70367859357114e-61,-0.731211007585665,1,1,2.25873746531786e-56
"LY86",8.14990198889714e-61,1.81288053630012,0.683,0.23,2.746027976139e-56
"PTAFR",8.8631313636301e-61,4.08669066621993,0.343,0.03,2.98634348166153e-56
"CD93",2.13973754230486e-60,3.83529136639086,0.37,0.044,7.20963167504201e-56
"PLAUR",2.5602612954084e-60,2.23564757999565,0.579,0.158,8.62654440874906e-56
"MT-ATP6",5.52221402340333e-60,0.715319947065153,1,0.993,1.86065479304552e-55
"IER3",3.88474238182309e-59,4.31873823378698,0.35,0.037,1.30892509813147e-54
"IL17RA",1.18198256808218e-58,2.81539885445945,0.453,0.085,3.98257206489608e-54
"PTPRE",1.28081374823414e-58,2.15826934254916,0.612,0.193,4.31557384330011e-54
"RHOB",4.67252358816858e-58,2.0664787141515,0.685,0.243,1.57436009779752e-53
"ATP5E",5.53571916424359e-58,0.714036179089926,1,0.975,1.86520521520024e-53
"TNFSF13",7.74813583084722e-58,6.33081682736146,0.254,0.004,2.61065688684566e-53
"CECR1",1.86886431161818e-57,2.23618709500246,0.579,0.17,6.29695141156628e-53
