"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC01272",3.57554240066683e-219,4.62538240169247,0.933,0.081,1.20474325648068e-214
"LST1",7.73810471469074e-216,4.06362108594861,1,0.252,2.6072770025679e-211
"MS4A7",3.88685456574453e-211,4.18973239928349,0.958,0.12,1.30963677738196e-206
"AIF1",2.48673796481422e-204,3.3915713941397,1,0.264,8.37881489864502e-200
"CD68",4.57250409868281e-183,3.05326407911562,0.972,0.167,1.54065953101019e-178
"COTL1",3.5582645696364e-181,2.69363378014673,1,0.637,1.19892166409329e-176
"PILRA",1.10900680775802e-180,3.49750312736154,0.895,0.098,3.73668753805988e-176
"SERPINA1",6.01812322160109e-178,2.8907663527113,0.984,0.173,2.02774643828627e-173
"CSF1R",1.6990722836256e-177,3.97733002616841,0.84,0.078,5.72485415244809e-173
"CST3",3.41006220188264e-173,2.72530451088365,1,0.223,1.14898635830234e-168
"CDKN1C",7.49993695202452e-173,6.34486728367108,0.684,0.009,2.52702875661514e-168
"LRRC25",7.6841805550915e-173,3.49681665573083,0.872,0.097,2.58910779623253e-168
"HCK",2.48818960995326e-171,2.96672703915093,0.942,0.159,8.38370607177653e-167
"SPI1",1.10326335499005e-168,2.72323572548967,0.984,0.253,3.71733554830346e-164
"FCGR3A",1.49796810942034e-165,3.3489931489806,0.919,0.19,5.04725374788088e-161
"IFITM3",3.41820305335614e-164,4.3270305064453,0.814,0.097,1.15172933679782e-159
"PSAP",1.10624219683461e-162,2.47086897446334,1,0.649,3.72737245801453e-158
"HES4",1.88711355427499e-162,6.25207460129192,0.658,0.012,6.35844040977415e-158
"TCF7L2",1.192660966569e-161,4.98810102409577,0.7,0.029,4.01855186075759e-157
"FTL",1.66177527655799e-159,2.31560288921097,0.998,0.993,5.59918561683451e-155
"FCER1G",1.96540153406987e-159,2.31565573636168,0.995,0.395,6.62222392889502e-155
"IFI30",3.91482769919053e-159,2.70775267038961,0.949,0.178,1.31906204496526e-154
"SAT1",7.15626894075639e-158,2.40177543176104,0.995,0.78,2.41123325689846e-153
"CFD",6.44421229899322e-157,2.63105416201579,0.949,0.177,2.17131289202277e-152
"NPC2",1.56612944567572e-155,2.43583330153299,0.991,0.414,5.27691655425976e-151
"GPBAR1",8.39913611162855e-155,4.05695120142285,0.721,0.044,2.83000492145212e-150
"LILRB2",8.24928763641033e-154,3.14417490667338,0.842,0.108,2.7795149762121e-149
"CLEC7A",9.07159570394724e-154,2.87357199841559,0.858,0.11,3.05658345648798e-149
"TYMP",1.42364577410723e-153,2.59201781446313,0.974,0.262,4.79683207127689e-149
"SIGLEC10",1.89359219612894e-151,4.21148458346781,0.712,0.046,6.38026954563686e-147
"S100A11",1.71458497577724e-149,2.19791622459464,1,0.492,5.77712261738385e-145
"MAFB",5.09747880134435e-146,3.08620829734107,0.793,0.092,1.71754450732496e-141
"FAM26F",3.24871213442154e-144,2.84671986482484,0.888,0.181,1.09462106657199e-139
"NAP1L1",2.5983107365294e-143,2.58521208153653,0.974,0.51,8.75474819566217e-139
"FTH1",2.56235569175227e-142,1.83291937110427,1,0.997,8.63360126779011e-138
"CFP",3.42888537557472e-141,2.40581631695884,0.912,0.166,1.15532863844615e-136
"CTSS",4.91652374041175e-141,2.3139281841631,0.995,0.462,1.65657350909434e-136
"HMOX1",8.11346379326883e-137,3.78114929746445,0.707,0.067,2.733750490504e-132
"TYROBP",1.09883239636359e-135,1.89794084231275,1,0.408,3.70240587630747e-131
"OAZ1",2.86405457521517e-135,1.43407113460055,0.998,0.929,9.65014548573001e-131
"BID",4.53810083280862e-135,2.84836489480148,0.851,0.174,1.52906769460654e-130
"CPPED1",2.72750874007666e-133,2.76730950309756,0.805,0.115,9.19006794881431e-129
"LILRA2",5.96473976211973e-133,2.90914183343973,0.774,0.097,2.00975941544862e-128
"C19orf38",1.81252522851653e-132,2.86295633133749,0.77,0.095,6.10712250496361e-128
"SLC7A7",3.25525523008322e-132,2.76697268094633,0.795,0.113,1.09682569722424e-127
"FKBP1A",7.11574043680578e-132,1.86962238191619,0.974,0.576,2.39757758277734e-127
"LILRA1",9.26782192779905e-132,3.57730792196705,0.677,0.056,3.12269992035261e-127
"TNFRSF1B",2.79035244211798e-131,2.35069243763329,0.937,0.305,9.40181351847231e-127
"TMSB4X",7.34402988410172e-131,1.41035022480365,0.998,0.999,2.47449742914923e-126
"PTPRCAP",1.28151111274839e-129,-5.39048723162687,0.058,0.8,4.31792354329443e-125
"STXBP2",3.34033875033398e-128,2.38359227545376,0.958,0.402,1.12549373853753e-123
"ADGRE2",1.44079984862453e-122,3.27103239691383,0.64,0.051,4.85463100995549e-118
"YBX1",3.25384251051758e-121,1.2629624396451,0.995,0.908,1.09634969549379e-116
"C5AR1",6.32179101493722e-121,2.64803297967505,0.721,0.088,2.13006426457295e-116
"CALM2",1.15239563190963e-120,2.22031210291877,0.963,0.641,3.88288184215632e-116
"CEBPB",1.92724684267566e-120,2.33539570537373,0.928,0.341,6.49366551171136e-116
"FGL2",1.72471846823847e-119,2.20174843606798,0.863,0.174,5.8112664068827e-115
"ANXA5",2.19786490576256e-119,1.99732889483135,0.947,0.348,7.40548601347635e-115
"CXCL16",2.68059339210529e-119,4.16716432220346,0.579,0.034,9.03199137535957e-115
