"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GNLY",1.7511682694002e-259,6.58031585303961,0.975,0.047,5.90038636691702e-255
"KLRF1",8.40998717158289e-255,6.73925554945387,0.935,0.025,2.83366107759314e-250
"KLRD1",9.26468551537321e-246,5.23837016160325,0.965,0.054,3.12164313754985e-241
"PRF1",1.75608310038925e-229,5.28095783496607,0.953,0.094,5.91694639845155e-225
"GZMB",5.79519302089651e-224,6.37960954310607,0.853,0.022,1.95263233646087e-219
"NKG7",1.6606551087672e-222,4.5525915672598,0.995,0.187,5.59541132348019e-218
"TRDC",7.4737917063784e-213,7.19293622301507,0.798,0.011,2.51821937754714e-208
"HOPX",2.90995576915906e-210,4.37119568164061,0.948,0.116,9.80480496860455e-206
"GZMA",2.94994125443431e-207,3.95880042348875,0.963,0.13,9.93953206269095e-203
"CST7",3.45013583359418e-206,3.89985071763296,0.968,0.134,1.16248876777122e-201
"FGFBP2",3.18549521643481e-203,6.4439200247032,0.791,0.02,1.07332075822554e-198
"IL2RB",6.20606505454263e-196,5.03065333493309,0.858,0.087,2.09107155947759e-191
"CLIC3",9.44915541994811e-194,6.22514139238584,0.778,0.03,3.18379842719731e-189
"CTSW",5.37275559980468e-192,3.69311152443442,0.98,0.248,1.81029627179819e-187
"SPON2",1.2803757128901e-187,5.73075537080821,0.803,0.058,4.31409792701191e-183
"CD7",7.18044155018876e-174,3.26344864006144,0.97,0.344,2.4193779759206e-169
"KLRB1",3.10288639326397e-167,3.02009001342442,0.938,0.146,1.04548654134636e-162
"XCL2",8.8386933309565e-165,5.9294621313738,0.676,0.019,2.97810933093248e-160
"B2M",2.29117808506487e-161,1.34541506031085,1,0.999,7.71989543981758e-157
"MATK",2.15808777673555e-158,3.69743304273444,0.825,0.129,7.27146095493277e-154
"CD247",3.39826759389148e-149,3.23037753271618,0.91,0.29,1.1450122830858e-144
"RPS8",3.85174714619011e-147,-1.40759769991419,0.995,1,1.29780768343729e-142
"ADGRG1",1.86791620138389e-142,5.27986772893574,0.611,0.021,6.29375684894288e-138
"HLA-B",8.13606820535927e-141,1.15037541936276,1,1,2.74136682111375e-136
"HLA-C",2.76983702830449e-137,1.63839681115811,1,0.981,9.33268888316915e-133
"GZMM",1.21657743520697e-131,3.01577719646518,0.843,0.219,4.09913601018638e-127
"RPS13",9.36786897850191e-131,-1.1980370136608,1,0.998,3.15640977361644e-126
"TTC38",1.80418429607439e-130,5.08613102054788,0.608,0.043,6.07901856719306e-126
"S1PR5",3.46571033995074e-130,4.73256738883273,0.601,0.034,1.167736441943e-125
"HLA-A",1.04935724518543e-128,1.26914889531618,1,0.985,3.53570430192777e-124
"TBX21",8.96103260912172e-128,4.16044754721621,0.666,0.078,3.01933032731747e-123
"GZMH",7.21624892054198e-126,3.59524083124472,0.596,0.03,2.43144291128742e-121
"CD160",5.25717838272061e-124,5.48042437311563,0.546,0.021,1.77135368427388e-119
"AC090498.1",7.18356786497622e-124,-1.52322503836906,0.875,1,2.42043135642509e-119
"RPL28",8.69340950513984e-123,-0.934645675617923,1,1,2.92915739866182e-118
"PTGDR",5.36881100061816e-121,4.67197418688328,0.571,0.035,1.80896717854828e-116
"APMAP",3.95168759075063e-119,3.12883784347895,0.783,0.214,1.33148161682752e-114
"CCL4",9.37533448208669e-116,3.04940020778328,0.733,0.124,3.15892520039429e-111
"HCST",1.19753657397927e-109,1.82170337084225,0.97,0.703,4.03497973236577e-105
"CHST12",4.00751494991069e-109,3.33083322057277,0.693,0.148,1.35029208722291e-104
"AKR1C3",5.16623587752996e-107,6.64277273035214,0.456,0.01,1.74071151657494e-102
"CCL5",5.5644622240962e-105,2.61833490345444,0.743,0.146,1.87488990178697e-100
"RPS4Y1",4.07494289238634e-104,11.384745712477,0.416,0,1.37301125816065e-99
"RPL39",1.54665422674304e-103,-0.928504206558443,1,0.998,5.21129675158798e-99
"SH2D1B",1.93536115566153e-103,4.68946489631946,0.539,0.054,6.52100587788595e-99
"RPL30",6.4765314074813e-103,-1.11799766830936,1,1,2.18220249243675e-98
"PLAC8",3.0716680088513e-102,2.22117594122775,0.9,0.526,1.03496781890236e-97
"RPL8",4.77838234197295e-102,-0.876035083174457,0.998,0.999,1.61002814630437e-97
"XCL1",1.47608508894851e-101,5.54774856641674,0.449,0.013,4.9735210987031e-97
"CMC1",1.4788440756678e-100,3.67936111588978,0.693,0.177,4.9828172285551e-96
"SAMD3",3.28056894013226e-100,3.07447731987854,0.658,0.125,1.10535489868816e-95
"IGFBP7",1.51347165772183e-99,3.9506392923954,0.586,0.087,5.09949140352792e-95
"APOBEC3G",1.32374362040517e-98,2.95136273090037,0.703,0.177,4.46022175459318e-94
"RPS12",4.83314785169277e-97,-1.1398694065189,0.998,1,1.62848083714936e-92
"UBB",1.26342595939166e-96,1.43587393632537,0.978,0.848,4.25698742757426e-92
"FCRL6",5.27170502719723e-96,4.90616378636877,0.449,0.02,1.77624829186383e-91
"PRSS23",1.01838090224781e-94,5.84391355108769,0.421,0.013,3.43133261203378e-90
"MYL12A",4.5222708635438e-94,1.33164678385904,0.985,0.932,1.52373394476245e-89
"VIM",4.95910988668824e-94,-2.25888379229289,0.564,0.932,1.67092248522074e-89
"C12orf75",5.94036988845557e-93,2.82288661925341,0.673,0.161,2.00154823021622e-88
"RPL11",6.93852217267914e-93,-0.926184626729422,1,1,2.33786566086251e-88
"JAK1",3.24773155406225e-90,1.86646029728335,0.903,0.617,1.09429066982573e-85
"RPL12",5.72676315026763e-90,-0.905397022070447,1,1,1.92957557585118e-85
"RPS23",3.02772691665838e-89,-0.950389406097179,0.998,1,1.02016230729887e-84
"NCR1",1.50901026779379e-87,6.8083633651874,0.372,0.005,5.08445919630438e-83
"ABHD17A",1.83918145454329e-85,3.17714910814619,0.636,0.176,6.19693799293816e-81
"RPL18A",1.63389005614452e-84,-0.879180169916354,0.998,1,5.50522915517336e-80
"PYHIN1",3.52899605683963e-84,3.37649315218565,0.556,0.099,1.18905993139154e-79
"RHOC",8.97563219175899e-84,2.16468288672036,0.781,0.271,3.02424951069127e-79
"PABPC1",1.65050092219964e-83,-1.03217223828813,0.928,0.992,5.56119780725948e-79
"FOSB",2.23646475352355e-83,-1.76656688811138,0.623,0.94,7.53554434052224e-79
"EEF1G",2.92809251342543e-83,-1.83951048072564,0.451,0.923,9.86591491473563e-79
"NCR3",5.76055883094075e-83,2.52564617502495,0.638,0.142,1.94096269249718e-78
"ZAP70",2.46976122632236e-82,2.34743486127593,0.733,0.253,8.32161347597057e-78
"PFN1",8.01981190430219e-82,0.962311381156796,1,0.993,2.70219542303558e-77
"RPS10",8.34139439482241e-82,-0.99149262603629,0.988,0.997,2.81054942739146e-77
"MALAT1",1.14885012999054e-81,1.39071550828008,1,1,3.87093562799013e-77
"FCGR3A",7.06456773966683e-81,1.75444200866778,0.8,0.223,2.38033545420334e-76
"RPL22",2.93094689459571e-80,-0.995410366355192,0.958,0.996,9.8755324666508e-76
"ITGB2",8.6781576781935e-80,1.26361464188932,0.985,0.788,2.92401844809052e-75
"PLEKHF1",1.55098283788654e-79,3.93204878089593,0.459,0.052,5.22588157397492e-75
"RARRES3",5.91682767954195e-79,1.96439849439541,0.84,0.491,1.99361591834487e-74
"RPL32",7.4578454469992e-79,-0.925487308777381,1,1,2.51284644491191e-74
"C1orf21",8.8731708044968e-79,5.35467675554495,0.367,0.014,2.98972617086715e-74
"RPL18",2.19699647593255e-78,-0.848808586344202,0.995,0.999,7.40255992600713e-74
"NACA",5.03834122137022e-78,-0.851474436253503,0.965,0.995,1.69761869112848e-73
"RPL19",3.84870213117929e-77,-0.793074992793791,1,1,1.29678169607955e-72
"SEPT7",1.6148269789062e-76,1.69909455938731,0.868,0.574,5.44099802272655e-72
"EFHD2",5.48820816380113e-76,2.0825609084907,0.793,0.384,1.84919685871115e-71
"EEF1A1",5.62285301878693e-76,-0.928739978064498,1,1,1.89456409615007e-71
"RPLP0",9.31344016212204e-76,-1.09287425169938,0.95,0.996,3.1380705282254e-71
"SRGN",1.81820171109729e-75,1.26926016180467,0.98,0.679,6.12624884537122e-71
"RPL37",2.0438847972588e-75,-0.81139605961448,1,1,6.88666543588379e-71
"COTL1",4.07735477187699e-75,-3.20409068023759,0.307,0.808,1.37382391683623e-70
"HLA-DRB5",4.40515225101016e-74,-6.14785103442097,0.042,0.581,1.48427199945537e-69
"LITAF",6.71674207231898e-74,1.86439685269066,0.828,0.492,2.26313907384716e-69
"TPST2",1.88479181383603e-73,2.71411982728365,0.636,0.211,6.35061753753911e-69
"FTH1",4.91974933268135e-72,-2.13661618605248,0.995,0.997,1.65766034015365e-67
"EGR1",1.02458033428301e-71,-2.83001681155031,0.195,0.735,3.45222097833319e-67
"TMSB4X",3.4902829496079e-71,0.947489511709214,1,0.998,1.17601593704088e-66
"IFITM2",3.90524961093828e-71,1.24305097010551,0.978,0.861,1.31583480390954e-66
"PRKCH",3.3031011031204e-70,2.31309976942656,0.668,0.231,1.11294688568539e-65
"CD63",3.68947217434633e-70,2.1188029139023,0.756,0.371,1.24313075442425e-65
"MT-ND3",3.87100783331783e-70,-0.819689765155371,0.995,0.998,1.30429737935811e-65
"ARPC5L",1.05389028955271e-69,2.36096277906235,0.683,0.278,3.55097794161891e-65
"RPLP1",6.02347598692756e-69,-0.714546467703642,1,0.999,2.02954999903537e-64
"IL18RAP",7.09950197656447e-69,4.3303006528126,0.367,0.028,2.39210619598363e-64
"FAU",7.33412292812502e-69,-0.633924999716862,0.998,0.999,2.47115937940244e-64
"RPL17",1.52006983069212e-68,-0.97996814462198,0.913,0.984,5.12172328753404e-64
"RPL29",3.99016845045656e-67,-0.763773178972708,0.998,0.999,1.34444735769683e-62
"CD99",1.24846160628345e-66,1.57851512771034,0.88,0.563,4.20656653621147e-62
"XBP1",1.57299252633657e-65,2.06475490053495,0.741,0.367,5.30004101823845e-61
"KLRC1",2.11243440030317e-65,6.0668017668042,0.292,0.006,7.11763646838149e-61
"RPS28",4.63621891129104e-65,-0.677784618940395,0.998,1,1.5621275999704e-60
"HLA-DRB1",7.74111336557846e-64,-4.41459811467562,0.217,0.636,2.608290737398e-59
"RAP1B",1.0125128256361e-63,1.57313834279046,0.85,0.603,3.41156071469828e-59
"IFITM1",1.47021768785915e-63,1.89451727972495,0.93,0.618,4.95375147747263e-59
"RPS21",1.79398670803775e-63,-0.874951866469747,0.983,0.997,6.04465881406238e-59
"TPT1",7.48023295326658e-63,-0.799147115554026,0.998,0.999,2.52038969127364e-58
"RPL35A",5.74847220508564e-62,-0.715570000216146,0.993,1,1.93689022478155e-57
"RPL7A",6.05028413353145e-62,-0.681714904313165,0.99,0.997,2.03858273595209e-57
"RPS4X",6.28330864241546e-62,-0.842843848272183,1,0.999,2.11709801397546e-57
"ANXA6",1.14783994768446e-61,1.63338218615321,0.81,0.543,3.86753191972801e-57
"FOS",1.38760872457267e-61,-1.04229555378861,0.918,0.978,4.67540883657514e-57
"GABARAP",1.63149777919724e-61,-1.9936972843275,0.476,0.881,5.49716861722719e-57
"NFKBIZ",1.83198689766835e-61,-2.49286601041841,0.209,0.701,6.17269665300372e-57
"CLIC1",1.29259370571385e-60,1.06966841905594,0.965,0.778,4.35526523203225e-56
"NME2",3.65401360387672e-60,-1.73156918368994,0.282,0.799,1.23118334369022e-55
"TRBC1",4.42068889632224e-60,2.44941263310085,0.586,0.184,1.48950691672682e-55
"PLEK",6.65957474204455e-60,1.82438415685674,0.758,0.384,2.24387711358449e-55
"CFL1",5.39735726957134e-59,0.784803873256134,0.998,0.975,1.81858555840937e-54
"NCF1",5.77222797165672e-59,-4.12108064802677,0.075,0.546,1.94489449277001e-54
"CD300A",1.35567408718879e-58,2.27624092267646,0.641,0.271,4.56780826937391e-54
"CD52",2.597588296926e-57,-1.07784896818601,0.698,0.974,8.75231400766247e-53
"IFNG",5.07596811034625e-57,3.76175212077764,0.342,0.035,1.71029669510006e-52
"EEF1B2",5.52832672469965e-57,-1.10136733507695,0.908,0.975,1.8627144066203e-52
"SUN2",1.02247602873941e-56,1.33219291008784,0.885,0.628,3.44513073123458e-52
"SPI1",1.12716039277962e-56,-6.03619925700982,0.017,0.469,3.79785422743165e-52
"MT-ND1",1.5691897996162e-56,-0.81141475924003,0.973,0.995,5.28722811082681e-52
"TXK",2.27228057630073e-56,2.44911627006767,0.534,0.155,7.65622217378767e-52
"RP11-347P5.1",4.66396731969476e-56,6.64817049331128,0.259,0.008,1.57147714869795e-51
"CCND3",2.51770132017973e-55,1.36905054913961,0.878,0.69,8.4831428282136e-51
"IL2RG",2.81426650340427e-55,1.31189941553786,0.88,0.595,9.48238955657035e-51
"CD83",3.32766558683901e-55,-3.51634327603051,0.075,0.535,1.12122364282954e-50
"NFKBIA",5.23543476390176e-55,-1.43377033948475,0.633,0.933,1.76402738934906e-50
"ARL4C",1.25814605452105e-54,1.81769390757545,0.696,0.338,4.23919731610322e-50
"RPS24",9.49245044801783e-54,-0.555132032756312,1,1,3.19838625395513e-49
"CHST2",9.6471710354543e-54,3.24504271563403,0.399,0.075,3.25051780868597e-49
"TRGC1",3.06194677624282e-53,4.18947295758351,0.297,0.024,1.03169234678726e-48
"EVL",1.34382479238423e-52,1.11501951583805,0.92,0.715,4.52788325545943e-48
"MYO1F",9.33072863769268e-52,1.43251916428006,0.805,0.46,3.14389570718417e-47
"CYBB",2.3074129254635e-51,-6.01537110259162,0.01,0.43,7.7745971110567e-47
"CEP78",2.85248712887692e-51,3.04409864128793,0.397,0.076,9.6111701320379e-47
"KIR2DL3",8.32497508916576e-51,7.25457082725199,0.219,0.002,2.80501710654351e-46
"RPL6",1.72818866696616e-50,-0.567528732826746,0.998,0.999,5.82295889447577e-46
"PFDN5",2.03806210611002e-49,-0.698470040170101,0.93,0.99,6.86704646032709e-45
"CXXC5",2.79682381931185e-49,2.32047668364163,0.491,0.142,9.42361817678935e-45
"RNASET2",4.16217201369218e-49,-1.85040411269554,0.282,0.712,1.40240223829344e-44
"NR4A1",7.71082998242088e-49,-2.78292582189286,0.132,0.569,2.59808705427689e-44
"KLF4",2.12186049709877e-48,-4.61786914068559,0.065,0.468,7.1493967589246e-44
"SLC9A3R1",2.27523390694785e-48,1.70353817826182,0.741,0.493,7.66617312607009e-44
"TGFBR3",2.3217976889435e-48,3.1982615308989,0.344,0.054,7.82306513312624e-44
"DHRS7",2.46493807694173e-48,1.63629298772719,0.708,0.422,8.30536235644748e-44
"RPL34",3.98929769239653e-48,-0.601330864462429,1,0.999,1.34415396447609e-43
"MMP23B",4.83613109408197e-48,5.14301976525471,0.229,0.008,1.62948601083998e-43
"NMUR1",6.32827322709451e-48,6.46969369961155,0.214,0.004,2.13224838113723e-43
"HLA-DPA1",1.24014690430238e-47,-3.4003789112315,0.329,0.65,4.17855097935645e-43
"FEZ1",1.67587145565584e-47,5.17648887325381,0.224,0.007,5.64668128268679e-43
"PDIA3",2.98271482189875e-47,1.4021162596538,0.788,0.602,1.00499593209056e-42
"GSN",7.39150458290171e-47,2.74661249566215,0.421,0.107,2.4904935541629e-42
"JUNB",8.66826364596704e-47,-1.04832733032085,0.943,0.987,2.92068475287213e-42
"RAC2",1.12413931826971e-46,0.960476552923831,0.948,0.897,3.78767501897797e-42
"DENND2D",1.51369368248367e-46,1.78278852194719,0.636,0.302,5.10023949376048e-42
"NBPF26",2.950096288882e-46,-2.36292863128633,0.147,0.58,9.94005443575902e-42
"CTSH",3.10985084257725e-46,-4.53803206428525,0.025,0.42,1.04783314289798e-41
"KLRG1",3.21971002853971e-46,2.05783764582463,0.524,0.171,1.08484909701617e-41
"FAM49B",3.81265304842844e-46,1.52804596102798,0.743,0.501,1.28463531813748e-41
"HLA-E",4.11513589853278e-46,0.622539912612273,1,0.987,1.38655388965163e-41
"RPL26",4.584148843176e-46,-0.473777739903428,0.998,0.998,1.54458311121972e-41
"DOK2",7.6341494072381e-46,1.54072622785693,0.731,0.412,2.57225030127481e-41
"PLA2G16",1.30736734592512e-45,3.48540361460366,0.292,0.035,4.40504353536008e-41
"CX3CR1",1.57798180942882e-45,2.2491742534112,0.531,0.196,5.31685190868947e-41
"SH2D2A",1.87167431767478e-45,2.71249252355549,0.404,0.096,6.30641944597342e-41
"GNB2L1",2.72719266468411e-45,-0.593447759050717,0.978,0.998,9.18900296438664e-41
"AIF1",2.76900274857872e-45,-4.95666788181405,0.102,0.484,9.32987786106113e-41
